,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,5151,77,98,1.9401270526167331,2.1275622982101647,,,955.0026161287116,10.476333923054675,0.09556147401169385,2024-04-30,2024-06-03,34 days,,1.9084902270403483,2.1130913117415853,0.11713308870602213,0.34259817157669653,0.00063537101134159,0.00018388655974691895,0.042586109192134666,0.034248704031628455
1,5160,99,100,2.121682193693745,2.1422190987628564,,,94.96956482207753,11.000865334538032,0.008674699008922359,2024-06-04,2024-06-05,1 days,,2.112778474542494,2.11476008831654,0.23368757998503858,0.27824440891536734,0.0005901711276118012,0.0008343882874767653,0.033188088198268954,0.03520641384788326
2,4936,101,114,2.2372577942516574,2.417878905611743,,,880.0569282981193,11.488877375262874,0.07969289165882253,2024-06-06,2024-06-26,20 days,,2.12572168487042,2.3255583825884667,0.3927122943682789,0.3030060038179488,0.006471605163962835,0.0037163744988338485,0.04240324961537557,0.04791202288596728
3,4545,203,234,2.623356163113008,2.850559646497111,,,1020.2003583034102,12.439473677338995,0.08556463992023665,2024-11-07,2024-12-20,43 days,,2.416043418834102,2.8362385417124107,0.2596369672936733,0.15806440613869324,0.008170300852347859,0.0026560729397964167,0.06488180610630033,0.07851906068346813
4,4267,236,242,3.033181893351176,2.9911585435112,,,-192.16656408922358,12.85293032204588,-0.014847616015751075,2024-12-24,2025-01-02,9 days,,2.8517021548298627,2.9270181767602463,0.2805646228621334,0.1578093938840085,0.00773180655872648,0.0018061456929684045,0.08780771036013305,0.09415672136320626
5,3985,385,386,3.199681332528067,3.28099487384499,,,311.12171480673993,12.912747341198315,0.024400305874226168,2025-08-06,2025-08-07,1 days,,3.2243483876997403,3.225684956855166,0.1449650895911083,0.16606873991242088,0.00040244457630222996,0.000610959137610223,0.06550844555936117,0.06570118469881407
6,3959,387,396,3.299199983210245,3.2573993533469867,,,-178.46748201535456,12.978788386715042,-0.013663594132197318,2025-08-08,2025-08-21,13 days,,3.228318113957386,3.27367495978685,0.20715777067553184,0.05034061510490005,0.0019848631288225485,4.382737415653537e-06,0.06082282533777597,0.04991925524638949
7,3463,430,432,3.720109534799339,3.7609014727771135,,,128.30911065741475,12.953370559618627,0.009959769229210401,2025-10-16,2025-10-20,4 days,,3.656848859496712,3.661793687976194,0.3568670368220324,0.2935982439712642,0.005416919870339616,0.002472414239740317,0.06954175183437546,0.08580481293830618
8,3392,433,445,3.835210925278616,4.199035351880471,,,1220.46637334743,13.626081686061813,0.09381682271807157,2025-10-21,2025-11-06,16 days,,3.67180208164381,4.061198955702421,0.30361021864865495,0.22822060003807065,0.008128245960893565,0.004896564483267696,0.0850593459942335,0.12504459884512287
