,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,17580,98,111,0.5685178228555677,0.5760804422319761,,,122.88982988713913,10.06101875011951,0.012295692347433197,2024-06-03,2024-06-21,18 days,,0.5609808835343716,0.5680685218103975,0.05800030702921037,0.08605277539309929,4.9150912881638455e-05,0.00010090640906431265,0.01321437682505464,0.01280717447306617
1,17891,132,134,0.5655070641744154,0.5387599691573252,,,-488.4104976974312,9.878220746669086,-0.048273894816168804,2024-07-22,2024-07-24,2 days,,0.5414409394011749,0.5413950052183417,0.059596097598808254,0.06514470331958198,0.00024029412091275404,-2.2967091416692398e-05,0.01409951616666981,0.015296887981884976
2,11954,282,293,0.8055127741426911,0.7551328169464874,,,-611.569987021359,9.327978697940019,-0.06351268612244951,2025-03-07,2025-03-24,17 days,,0.7645214952442223,0.7694541498881377,0.13874602545250397,0.21925104508759374,0.0009190475340889274,-0.0006258267876275703,0.02845563962564274,0.020436135182352724
3,12827,354,383,0.7030593355416123,0.8454323306330208,,,1816.2871567364864,9.93125130101101,0.20140369681491885,2025-06-24,2025-08-04,41 days,,0.6856628647557242,0.8256346445882929,0.20904924119568397,0.3584414403233345,0.0006648657140463735,0.0020553237779008526,0.015237118591703293,0.01942609759799482
4,9515,437,442,1.1384979218983815,1.0393877057733214,,,-953.394997303595,10.361290873648127,-0.08800996208391791,2025-10-27,2025-11-03,7 days,,1.0838871430901202,1.0848732769809515,0.13452569463370906,0.05489329188680557,0.0008775407643364375,-0.0004064309003849094,0.04324447897780195,0.04032190307003071
