,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,6826,86,91,1.4641599252282955,1.407700242429622,,,-395.19545353596124,9.801658752216472,-0.039541864167246,2022-05-18,2022-05-25,7 days,,1.4373481083077364,1.4392086448232349,0.11214579643342694,0.026918389138863408,0.0005046437221330654,-0.00017184826316688864,0.053922752358385326,0.05782469563122897
1,4700,127,128,2.04230893941693,2.031052420012999,,,-62.47804039313561,9.572399194660333,-0.006508907554133846,2022-07-15,2022-07-18,3 days,,2.022993733894716,2.0235787857074663,0.12594627759065827,0.11300159609112263,0.0013602656343110198,0.0001230476548848003,0.0810400060421101,0.07800828936958387
2,4710,129,130,2.0245409115411843,2.007736279433781,,,-88.64583001061582,9.496012784746043,-0.009296315325415428,2022-07-19,2022-07-20,1 days,,2.0231986283998165,2.022940837303244,0.07888868526169568,0.10728990667088552,0.00010244725254911675,-0.00031897420211042987,0.07761078432067484,0.07101302791948615
3,4659,151,153,2.02790173505282,1.999601943240916,,,-141.2307998702455,9.382069818585258,-0.01494823103460739,2022-08-18,2022-08-22,4 days,,1.9758689288755256,1.976878306321409,0.04863754247958308,0.12492503376992806,0.00038672468772797214,0.0005046887229411823,0.0795920474328432,0.07465992066010474
4,4589,154,156,2.027901129026485,1.8873207577166045,,,-654.1068005601738,8.98347661913202,-0.0702884278789661,2022-08-23,2022-08-25,2 days,,1.9778134365972988,1.9763932000659736,0.11948646408946817,0.04485020741251724,0.000983714061285686,-0.000710118265663103,0.06793826756774878,0.07268707008044509
5,5002,267,269,1.7300943664009782,1.6788988579932425,,,-264.60582510970437,8.525892054209947,-0.03057636973292846,2023-02-14,2023-02-16,2 days,,1.711067045903437,1.709700645843639,0.19367739603369888,0.11636161524869496,0.0008768577693558655,-0.0006832000298988561,0.03829158583272589,0.03906167813613802
6,7676,445,457,1.09285571655392,1.0239529299107455,,,-537.0221018581398,8.124311585131387,-0.06401685959699621,2023-11-07,2023-11-23,16 days,,1.0370041346254533,1.041116844472659,0.07254763756040407,0.24199598095573926,0.0006628661304442692,-0.0007843903101013202,0.02968565314717467,0.01971213397495929
