,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,6494,177,183,1.5389047716567634,1.9749655329388367,,,2820.369046886762,11.409536879021914,0.28221618005785365,2024-09-25,2024-10-10,15 days,,1.407003839900529,1.7092030920244148,0.013471488550010045,0.38527664186844846,0.0015998068805753718,0.02282830175769786,0.04065557715580244,0.159244892271653
1,6931,263,278,1.8485604938067228,1.8322270339818547,,,-125.96297922371221,12.755769177551315,-0.009831354532162004,2025-02-10,2025-03-03,21 days,,1.794663636973844,1.850895311608253,0.1648391204960514,0.1073418845145597,0.000925293529186059,-0.0004413605995405116,0.03255020621144904,0.03779076894730924
2,6748,281,297,1.8801363555150448,1.832223860910616,,,-335.83901696090504,12.525503370220179,-0.026470779402065193,2025-03-06,2025-03-28,22 days,,1.8525322805644961,1.8574700895909126,0.19316924290744752,1.9420768708015707e-06,0.0009149895547183225,-0.00013923523581027553,0.03521612928021414,0.02352069630654763
3,6877,325,329,1.7960346913940166,1.7675867910452467,,,-207.88972316585782,12.253512467367408,-0.0168313625760348,2025-05-13,2025-05-19,6 days,,1.7587395941442272,1.7629049376689565,0.21481048199215638,0.14070452684990287,0.0013860522459907543,0.00010928979937219196,0.023466494500690705,0.022709538488559753
4,6842,330,334,1.7749856996597817,1.7393705508357111,,,-255.70146098723595,12.022612732945081,-0.021055001714369682,2025-05-20,2025-05-26,6 days,,1.7633770589007298,1.7635951372169536,0.16940988934615575,0.042650621657932965,0.0003455864849932766,-0.00015928969258016679,0.02099911144040259,0.018436876001659733
5,5695,393,401,2.0876049502481653,2.169978329464377,,,456.9929262473447,12.123468388981465,0.038438588472793425,2025-08-18,2025-08-28,10 days,,2.0520576173183724,2.088338957997446,0.09392956596324334,0.35517927826036055,0.0009660096689021458,0.005365056016006638,0.02737183201024309,0.04148083124495318
6,5805,412,415,2.1265971530569105,2.1036984770855973,,,-145.20524707996194,12.27843306648863,-0.011762370578944865,2025-09-12,2025-09-17,5 days,,2.105819433351519,2.1057811364581456,0.05557468614075477,0.01603128543026882,0.00026563252115548625,-3.356975734843578e-05,0.0386591062859314,0.035696982187173106
