,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,20053,192,197,0.4984139998050325,0.4851131582276123,,,-276.5831112020211,9.861335050014313,-0.02767298904491417,2024-10-23,2024-10-30,7 days,,0.4889178683904918,0.4901740621902917,0.251201759877208,0.11444790796317529,0.00048134678194496533,-8.227228825852251e-05,0.024900786635058045,0.019663587530997447
1,19012,226,230,0.5111787717910677,0.4830235830823106,,,-544.7373353163175,9.450887585426333,-0.05605140797573024,2024-12-10,2024-12-16,6 days,,0.4948953123185544,0.4950101921577726,0.13496647072744167,0.029020259157645584,0.00015338627801260904,-5.886093638747999e-05,0.009830923094816318,0.009850887773213076
2,19466,263,268,0.4712824231973625,0.4658087454201792,,,-115.6713199548052,9.120708344154533,-0.012608625038841347,2025-02-11,2025-02-18,7 days,,0.4676805473338532,0.4679460183158025,0.0594977041102167,0.11289556729932532,4.564513572224982e-05,-4.502588326834219e-05,0.009355516899474224,0.009277612145494284
3,18998,294,297,0.4767936556398954,0.4658037925614672,,,-217.73915192444363,8.953733160464743,-0.024037991418210208,2025-03-26,2025-03-31,5 days,,0.4705908274500924,0.4708102777185232,0.19290585430343102,0.02998875176075073,0.0003364797895410258,-4.0929476284793744e-05,0.006789560139800748,0.007978305152554092
4,20173,324,332,0.4382464725867152,0.4342795872847853,,,-88.82471129872577,8.80073410289389,-0.010047196286318998,2025-05-13,2025-05-23,10 days,,0.4298424631525307,0.4342887734950071,0.4127650485276268,0.18637800281213462,0.001051548401015845,-4.436063616279166e-05,0.006505589780598971,0.005982669101730333
