,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,2181,151,152,4.582032636888316,4.50925680975423,,,-168.63813012100655,9.914051141563696,-0.01687492822179402,2022-08-18,2022-08-19,1 days,,4.5559538744011965,4.554366300294084,0.07210694421688532,0.12735136319829776,0.0003698187150149579,-0.0008608711821101641,0.08706325525659067,0.08483735187558325
1,2548,219,234,3.8557533911690776,3.836051361466253,,,-60.00013093765487,9.79935925485741,-0.006107219443306425,2022-11-30,2022-12-21,21 days,,3.6536792646598353,3.860066206032347,0.23713590094334214,0.09601775681624787,0.010239741674720193,-0.0004939677735199174,0.1015018060687956,0.08594037894527591
2,2492,239,261,3.9190959776108754,4.360202924464627,,,1088.9225051275623,10.316006431986075,0.11149696253907346,2022-12-28,2023-02-06,40 days,,3.86060162155258,4.469728349306319,0.05117315038919525,0.35036597411424314,0.0008522715452154254,-0.006941194577832969,0.0722422681665489,0.08942396248723525
