ts_code,name,industry,adx_mean,trend_consistency,price_efficiency,liquidity_score,momentum_3m,momentum_12m,excess_return_20d,excess_return_60d,trend_quality,volume_trend,idr,final_score,volatility,return_dd_ratio,annual_return,max_drawdown
513650.SH,标普500ETF南方,其他,36.3376030603698,0.5152585765488991,,0.5315512300963033,0.1961024573655259,,0.08869015631066701,0.22212758375482977,0.6699727882521977,0.9961141658862984,1.0247106850379009,1.0,0.21989993327978816,,,
159707.SZ,地产ETF,地产,21.887191938892258,0.6246287762416795,0.4925588030979096,0.6304825004899841,-0.37806833811851503,-0.588025835786693,-0.15243235818526457,-0.3749814729261923,0.6575907651863899,0.98992212692919,-0.811482565932022,0.9984544049459042,0.484460243506226,,,
159660.SZ,纳指100ETF,其他,34.299977308456015,0.5200204813108038,,0.5536296117839883,0.27652817371301563,,0.11570470040676883,0.29876605525260835,0.6547027705061415,0.7563268262802874,0.9873220136910382,0.9969088098918083,0.3214179424463012,,,
513390.SH,纳指100ETF,其他,36.27912567825687,0.5169994879672299,,0.5782648627291964,0.2565553282411608,,0.11557465151928503,0.2755067861465441,0.644491283328182,1.8907079289602577,0.9052393857735364,0.9953632148377125,0.3338462561481078,,,
159768.SZ,房地产ETF,地产,21.83928114613382,0.6119303635432668,0.4555220787894097,0.6131411407441034,-0.3885299712176937,-0.6080261154942893,-0.1628454773884226,-0.3835616518537477,0.6421622398862393,0.8008785640968042,-0.8610246582814046,0.9938176197836167,0.47757512866994084,,,
159931.SZ,金融ETF,金融,19.813747747289973,0.5416282642089094,0.4825054467355414,0.4594577876614154,-0.18904786192290657,-0.1419141423300676,-0.05775520186481675,-0.1748833897075338,0.6376809997808386,0.7379614838219084,-0.7704621588510054,0.9922720247295209,0.33372212258706074,,,
501312.SH,海外科技LOF,科技,44.66154158675401,0.43210445468509984,,0.5082841920406819,0.659620852292329,,0.28145435939881347,0.6880311305642639,0.6356868198448161,1.4255454373889793,1.0428053944362181,0.990726429675425,0.611688683519145,,,
159659.SZ,纳斯达克100ETF,其他,37.181763059484034,0.47557603686635935,,0.5133296702355747,0.26106923373167645,,0.09790528312268898,0.2917734460916135,0.62771321231332,1.4677187045292934,0.9188343829382829,0.9891808346213292,0.3339749240071016,,,
159501.SZ,纳指ETF嘉实,其他,36.26064436861596,0.47081413210445455,,0.5689729710503479,0.26921763049975067,,0.11129107927570336,0.2970698905344602,0.6277102837001471,0.9407852557668597,0.9699140723036517,0.9876352395672334,0.3238400187128003,,,
512800.SH,银行ETF,金融,21.44403045485991,0.4499231950844854,0.5327470880323141,0.682813213341305,-0.15716460533403143,-0.06567491572512008,-0.022640700538335112,-0.14058716238776858,0.6273433534253344,0.8840928037598587,-0.6788011180710108,0.9860896445131375,0.2924062042159724,,,
560070.SH,央企红利ETF基金,其他,31.896529912424402,0.5033794162826422,,0.5899681439128963,-0.15766380277812286,,-0.057465037168580535,-0.1473387467202515,0.6266458566563651,0.664226970736589,-0.6468371568544339,0.9845440494590417,0.2502306209923853,,,
167301.SZ,保险主题LOF,金融,23.212166369847417,0.41976446492575525,0.5182060331307727,0.48096797493935345,-0.2892782399571848,-0.0918760144791334,-0.048905504077226825,-0.26323075324944845,0.625851202687967,0.5863235102912628,-0.8233549407563677,0.9829984544049459,0.4333571731905275,,,
