,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,4591,32,61,2.1768968121272727,2.181523015164119,,,11.234145428614735,10.00475271354739,0.001124074007352465,2024-02-23,2024-04-08,45 days,,2.0601529270333563,2.1650618285942684,0.32864774273365904,0.07521574536360769,0.004501719902335684,0.00020817944468198846,0.06217508235192055,0.06013768127319145
1,4608,66,68,2.1712064321476445,2.0736062508801587,,,-459.5216837022707,9.780048421696058,-0.04592957451326231,2024-04-15,2024-04-17,2 days,,2.1661148376261643,2.1617543936700776,0.04958823907967515,0.15036954741003147,0.00018158824771852267,-0.0021802219780428325,0.05588670348162244,0.05666529506510326
2,4167,99,114,2.290687684422084,2.637381668395619,,,1434.4061987211237,10.267632496595684,0.15027362815021691,2024-06-04,2024-06-26,22 days,,2.2801929588574334,2.5232264363972545,0.25319495747926485,0.3563179781560543,0.000825481639065373,0.005764649962677855,0.0334646504118212,0.05136395230399461
3,4410,152,161,2.489922524105604,2.3885694440227585,,,-457.72415795507266,10.757074789723038,-0.04168496210708114,2024-08-19,2024-08-30,11 days,,2.3941712603073846,2.3990625500351417,0.07193959427771904,0.07713798054801685,0.0008764551403181997,-0.00027901141458859985,0.0952147786050166,0.061982862606005655
4,4397,172,173,2.3932113531589274,2.4148842751731343,,,84.72523985757968,10.570598238888039,0.008051471999999954,2024-09-18,2024-09-19,1 days,,2.3908112880511805,2.391737715088941,0.0650276090300219,0.13720811015506945,0.00011360999018409738,0.00045945463868927544,0.05413713905816833,0.052716848448723326
5,4300,174,199,2.46646192576326,2.540822669727533,,,308.98553716606796,10.765661880305206,0.029133675616861865,2024-09-20,2024-11-01,42 days,,2.3925044122572827,2.5836619834562264,0.07497354759011723,0.10453845564242256,0.0008465621030513404,1.8820696849886076e-05,0.05027788464801091,0.05353597139242231
6,3865,203,234,2.824080136663892,3.1469766358226687,,,1236.4559020358413,11.539067212830279,0.11327970712277532,2024-11-07,2024-12-20,43 days,,2.6032433809310978,3.148095967827153,0.2797273567791155,0.25113252973204897,0.010288844022800466,0.0011715391479434345,0.07012859047467267,0.08185526050491154
7,3664,236,250,3.3159600990206544,3.3214961195695287,,,8.124159498618459,12.159819792457215,0.0006686728348251913,2024-12-24,2025-01-14,21 days,,3.1660122021129964,3.32248199473853,0.3317307298024223,0.040221514959484506,0.008958117142922125,-0.0001798897928981802,0.08859749654048989,0.1346650175520216
8,4030,294,298,3.016968288319916,2.452339155802489,,,-2286.476058545137,11.020654499906644,-0.18805759027564742,2025-03-25,2025-03-31,6 days,,2.6641439780160217,2.6525660613495763,0.08674070059413486,0.3378597374058792,0.006788839582734241,-0.008811538274490141,0.11494508179418411,0.12587619984905013
9,2758,385,386,3.579653496922604,3.634720896992542,,,141.92726710368075,9.948622289208988,0.01437575254622296,2025-08-06,2025-08-07,1 days,,3.6061241871701553,3.606656608849588,0.20186082580588352,0.20289991608069763,0.000963073734647916,-0.0002762562619729181,0.09674856388826816,0.09220280610286753
10,2679,408,409,3.738406217888468,3.75388692905685,,,31.436898549762454,10.035926670333254,0.003138921751937717,2025-09-08,2025-09-09,1 days,,3.7410319634808364,3.741047759841765,0.013140109543151906,0.009904048279217805,0.00016217708087277552,-1.4307991224408548e-05,0.06367819122165683,0.0580246576988717
11,2320,430,432,4.330532273671416,4.309751421921322,,,-58.23430514710522,10.022729086887576,-0.005796283692537813,2025-10-16,2025-10-20,4 days,,4.269283000192999,4.26681041864518,0.36301444283994605,0.2924401852573501,0.005449056758314678,-0.0012362907739091138,0.12365263623414516,0.14280535951675508
