ts_code,name,industry,adx_mean,trend_consistency,price_efficiency,liquidity_score,momentum_3m,momentum_12m,excess_return_20d,excess_return_60d,trend_quality,volume_trend,idr,final_score,volatility,return_dd_ratio,annual_return,max_drawdown
159888.SZ,智能车ETF,其他,35.896927684494415,0.47081413210445455,,0.5913945958218356,0.5480223300811791,,0.021226639836136485,0.4975474082377169,0.6643079038789867,0.6807823096964546,1.1946009023877855,1.0,0.453391547633722,,,
159845.SZ,中证1000ETF,其他,40.12781532956476,0.5169994879672299,,0.6598741901492292,0.16850889789667467,,-8.262800547109705e-07,0.17757418770455202,0.6329945835241271,1.04930658927012,0.5426779317910098,0.9939393939393939,0.35601080172038474,,,
159960.SZ,恒生中国企业ETF,其他,21.260724437465907,0.5087557603686637,0.45655659671764615,0.5091974379893445,-0.20483065237448406,-0.35082185997079574,-0.04366828775467302,-0.20839206989055548,0.6144356010233541,1.2793388191710346,-0.595587484388174,0.9878787878787879,0.3732067547615963,,,
159994.SZ,5GETF,科技,25.29487937709173,0.4807987711213517,0.4883295350910045,0.6110982146561258,0.3147736987660017,0.15427833637790656,0.08594006490226458,0.3003969753733371,0.6123684378233484,0.9326377236199082,0.6846191329876619,0.9818181818181818,0.4890128461189143,,,
159747.SZ,香港科技ETF,科技,37.80691339560648,0.43353814644137234,,0.5977281303169502,-0.2814081026195926,,-0.15482360576421828,-0.2588308349592957,0.6086379645138176,1.0910262457218634,-0.532059073429602,0.9757575757575757,0.6281703252819107,,,
159855.SZ,影视ETF,其他,32.90809514476497,0.48571428571428577,0.4964132847605146,0.5786727920704513,0.5829085802540717,,0.443602950852936,0.5652900386115818,0.6078702511070354,1.2506193239603476,0.9906063266481355,0.9696969696969697,0.4798697373673592,,,
159968.SZ,中证500ETF博时,其他,21.591501274459077,0.4998463901689708,0.5039667681553476,0.5932883238151075,0.05991930348007046,0.5485612331234497,0.01733417951092764,0.09137068661267134,0.6054188387958308,0.9161086277526166,0.4131659250796727,0.9636363636363636,0.2917317919988132,,,
159811.SZ,5G50ETF,科技,24.935093270568164,0.456221198156682,0.4767944890745428,0.5787226348255531,0.3347508688738903,0.2626475741350647,0.06081694096584167,0.3251055825066449,0.6050383863882984,0.7507200165405931,0.830519738757148,0.9575757575757575,0.47228118538863756,,,
159725.SZ,线上消费ETF,消费,33.06914851751981,0.4793650793650793,,0.492424960105199,0.2672600302876784,,0.21855171768679882,0.2102485510695602,0.6025583970944139,0.890318363949264,0.50061701827081,0.9515151515151515,0.43446792797579187,,,
159982.SZ,中证500ETF鹏华,其他,23.216195297660057,0.49999999999999994,0.4901734929361051,0.6527886328910072,0.06335905245445383,0.6191309908614642,0.024155031828034357,0.0898591510356006,0.6020822070238205,0.8990424619387062,0.42140850311723604,0.9454545454545454,0.3016677135386649,,,
160717.SZ,H股LOF,其他,23.96973398275984,0.5160778289810548,0.4803724078761926,0.4790372981820758,-0.14078224277540763,-0.40119775216251263,-0.053576139462220285,-0.15371244786296245,0.6013552938437183,1.1186441836618435,-0.5249070769080242,0.9393939393939394,0.4609031750886267,,,
159850.SZ,恒生国企ETF,其他,25.814578331555694,0.49370199692780337,0.48934121190014235,0.6185607281013539,-0.14569982539907733,,-0.048972319739856496,-0.13896940530025348,0.5972466356418403,1.0889393664574123,-0.3977459600627545,0.9333333333333333,0.3964867560828613,,,
159847.SZ,医疗ETF易方达,医药,30.222521159464524,0.516231438812084,,0.6182518137366495,-0.23103683798698516,,-0.05632600879771554,-0.22741788288253562,0.5950651721138192,0.9779093339913275,-0.5076909953090251,0.9272727272727272,0.6198775886343924,,,
161128.SZ,标普信息科技LOF,科技,24.035019648366717,0.47905785970302106,0.45580757660098015,0.5474634280377391,0.2480749869083152,0.7616597902922664,0.09934516444428398,0.29764743127443416,0.5938153986463851,0.8897053490480509,0.9334889053293696,0.9212121212121213,0.31595853164450893,,,
159805.SZ,传媒ETF,其他,20.242537280365493,0.4920634920634921,0.47339311488045577,0.621222530003033,0.5027677387772447,0.1351565281201843,0.3363333611378696,0.4652389158234851,0.5910022034277451,1.2911055105894378,0.879141896175854,0.9151515151515152,0.46124183509141187,,,
159819.SZ,人工智能ETF,科技,23.585015759209416,0.5015873015873016,0.47717422789968533,0.6380936888603141,0.21997569407173168,0.17648438177673498,0.03196582319501928,0.1992103949550723,0.5909881679516268,0.9661638195242106,0.5924206615985335,0.9090909090909091,0.41636259550669835,,,
159741.SZ,恒生科技ETF嘉实,科技,35.20597589383192,0.43195084485407065,,0.6067484427589497,-0.20065751358879202,,-0.08895980662279979,-0.1881183357657511,0.5901504043562458,1.0815770901242059,-0.3696446744375778,0.9030303030303031,0.599546494434041,,,
159742.SZ,恒生科技指数ETF,科技,31.105022676484065,0.42401433691756274,,0.592511655599393,-0.19800468249196967,,-0.08766121624445755,-0.17929350853053916,0.5810683404945096,0.8897705424774194,-0.34288012737557344,0.896969696969697,0.6038618763516712,,,
159899.SZ,软件龙头ETF,科技,27.667535094087278,0.4314388120839734,,0.5229358471792227,0.13863614491111598,,0.052027639535578096,0.09521853628719446,0.578263753443254,1.556988007018412,0.2805558402197028,0.8909090909090909,0.4020927023605912,,,
159851.SZ,金融科技ETF,科技,34.199554393253756,0.4181259600614439,,0.5574059907883133,0.15426225725250386,,0.08484901990097482,0.15628450948092532,0.5736335354500998,1.6027889618698288,0.37077697387750536,0.8848484848484849,0.4869639879408322,,,
