ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,momentum_12m_normalized,momentum_12m_component,final_score,stage2_rank,final_rank
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.18166,0.33603,0.53122,0.70060,2.04696,1.11945,0.95682,0.95682,0.95682,26,1
161128.SZ,标普信息科技LOF,科技,24.61880,,,,0.50280,0.30516,1.40582,0.39196,0.53137,0.58961,0.09985,0.50040,0.57986,0.81623,1.37491,1.18008,1.00000,1.00000,1.00000,1,2
164701.SZ,黄金LOF,其他,21.87947,,,,0.23224,0.11323,0.31445,0.47430,0.55785,0.45511,0.06161,0.28381,0.57141,0.68210,1.00459,1.19622,0.94646,0.94646,0.94646,32,3
160723.SZ,嘉实原油LOF,其他,22.93991,,,,0.55065,-0.07151,0.19830,0.43559,0.54494,0.55185,-0.03717,-0.00896,0.36704,0.12059,0.46770,-0.00978,0.92055,0.92055,0.92055,47,4
159845.SZ,中证1000ETF,其他,25.30873,,,,0.45880,-0.04634,0.10249,0.34531,0.33968,0.75019,-0.04804,0.07248,0.23823,0.02969,0.79079,0.22098,0.88256,0.88256,0.88256,69,5
501219.SH,智胜先锋LOF,其他,19.91019,,,,0.23693,-0.02958,0.20485,0.22094,0.42586,0.61313,-0.00892,0.10458,0.23400,0.05521,1.03192,0.40774,0.92573,0.92573,0.92573,44,6
159633.SZ,中证1000ETF易方达,其他,25.00280,,,,0.43948,-0.04501,0.09636,0.34040,0.33604,0.69033,-0.04768,0.07677,0.23342,0.02384,0.56089,0.23536,0.87219,0.87219,0.87219,75,7
159811.SZ,5G50ETF,科技,21.45959,,,,0.51499,-0.00402,0.33096,0.35627,0.45404,0.59527,0.05840,0.12783,0.29130,0.06358,0.89790,0.31327,0.94819,0.94819,0.94819,31,8
516770.SH,游戏ETF华泰柏瑞,其他,30.36186,,,,0.91444,-0.08375,0.83318,0.36278,0.50301,0.65571,-0.14627,0.01572,0.33212,0.13058,1.19853,0.01949,0.98964,0.98964,0.98964,7,9
561560.SH,电力ETF,其他,19.20246,,,,0.27920,-0.01502,0.06784,0.34864,0.44669,0.64519,0.03315,0.12830,0.27336,0.02475,0.83999,0.58066,0.84283,0.84283,0.84283,92,10
159726.SZ,恒生红利ETF,其他,19.78838,,,,0.36636,-0.08964,0.18144,0.23743,0.43299,0.45485,0.04447,0.06962,0.41392,0.57134,1.23901,0.21879,0.91192,0.91192,0.91192,52,11
512890.SH,红利低波ETF,其他,21.53681,,,,0.26216,-0.08975,0.18961,0.44245,0.40231,0.64666,-0.01082,0.05762,0.47394,0.57705,0.93831,0.26579,0.91710,0.91710,0.91710,49,12
159930.SZ,能源ETF,其他,19.80107,,,,0.37830,-0.04327,0.28376,0.43497,0.41888,0.58714,0.02903,0.10618,0.29072,0.01831,0.81031,0.33320,0.93782,0.93782,0.93782,37,13
159719.SZ,国企共赢ETF,其他,22.37613,,,,0.40441,-0.15803,0.35063,0.30758,0.40583,0.61879,0.03065,-0.00456,0.47801,0.72062,0.87687,-0.01866,0.95164,0.95164,0.95164,29,14
512290.SH,生物医药ETF,医药,23.81288,,,,0.40013,0.06231,-0.13516,0.21029,0.52328,0.63650,-0.06991,0.18299,0.25259,0.02419,0.82869,0.46940,0.66149,0.66149,0.66149,197,15
159966.SZ,创业板价值ETF,其他,22.55736,,,,0.29161,-0.07874,-0.20413,0.30440,0.38487,0.41238,0.00010,0.06958,0.30594,0.22853,1.46939,0.21037,0.49914,0.49914,0.49914,291,16
159747.SZ,香港科技ETF,科技,21.73824,,,,1.21421,-0.19456,0.45353,0.44291,0.35322,0.60959,-0.08049,-0.01959,0.44081,0.52628,0.88942,-0.03431,0.96200,0.96200,0.96200,23,17
561120.SH,家电ETF,其他,20.10622,,,,0.35131,-0.08250,0.05589,0.25059,0.45820,0.66251,0.03174,0.04959,0.43318,0.59076,0.96129,0.16958,0.83420,0.83420,0.83420,97,18
562900.SH,农业ETF易方达,其他,22.13535,,,,0.34335,-0.01995,-0.13922,0.27040,0.41477,0.64486,0.02997,0.15642,0.30231,0.22177,0.98366,0.50765,0.65285,0.65285,0.65285,202,19
510410.SH,资源ETF,其他,22.02039,,,,0.31610,-0.09161,0.00935,0.25550,0.41287,0.60247,0.02372,0.06054,0.39958,0.53036,0.98133,0.24823,0.78411,0.78411,0.78411,126,20
