ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_consistency_normalized,trend_consistency_component,final_score,stage2_rank,final_rank
161724.SZ,煤炭等权LOF,周期,31.04680,,,,0.93339,-0.30602,,0.27727,0.41078,0.47255,-0.00935,-0.27217,0.32129,0.27583,0.60237,-0.38962,0.22424,0.22424,0.22424,129,1
159845.SZ,中证1000ETF,其他,40.12782,,,,0.35601,0.16851,,0.51700,,0.65987,-0.00000,0.17757,0.63299,0.74899,1.04931,0.54268,0.98182,0.98182,0.98182,4,2
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.98788,0.98788,0.98788,3,3
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.99394,0.99394,0.99394,2,4
164701.SZ,黄金LOF,其他,22.78149,,,,0.22334,0.01914,-0.14616,0.37266,0.44229,0.39390,0.01637,0.02471,0.27811,0.01939,0.60427,0.13504,0.44242,0.44242,0.44242,93,5
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.45455,0.45455,0.45455,91,6
161028.SZ,新能源车LOF,新能源,33.46621,,,,0.76896,-0.00681,,0.45622,0.49629,0.56157,-0.20650,-0.01087,0.33575,0.05474,0.84879,-0.02291,0.80606,0.80606,0.80606,34,7
159819.SZ,人工智能ETF,科技,23.58502,,,,0.41636,0.21998,0.17648,0.50159,0.47717,0.63809,0.03197,0.19921,0.59099,0.79420,0.96616,0.59242,0.94545,0.94545,0.94545,10,8
159888.SZ,智能车ETF,其他,35.89693,,,,0.45339,0.54802,,0.47081,,0.59139,0.02123,0.49755,0.66431,0.85780,0.68078,1.19460,0.86061,0.86061,0.86061,24,9
588330.SH,双创龙头ETF,其他,32.53283,,,,0.44640,-0.03690,,0.47542,,0.68024,-0.09061,-0.05022,0.23895,0.00248,0.95837,-0.15337,0.87879,0.87879,0.87879,21,10
159906.SZ,深成长龙头ETF,其他,21.19804,,,,0.49027,0.14237,0.02000,0.45146,0.32523,0.62507,0.04341,0.11095,0.49959,0.72208,0.97674,0.34944,0.78182,0.78182,0.78182,37,11
159847.SZ,医疗ETF易方达,医药,30.22252,,,,0.61988,-0.23104,,0.51623,,0.61825,-0.05633,-0.22742,0.59507,0.67390,0.97791,-0.50769,0.97576,0.97576,0.97576,5,12
161124.SZ,港股小盘LOF,其他,19.85381,,,,0.59645,-0.15248,0.14511,0.51162,0.35290,0.30397,-0.03236,-0.17654,0.43630,0.44436,2.44020,-0.25899,0.96364,0.96364,0.96364,7,13
160717.SZ,H股LOF,其他,23.96973,,,,0.46090,-0.14078,-0.40120,0.51608,0.48037,0.47904,-0.05358,-0.15371,0.60136,0.80762,1.11864,-0.52491,0.96970,0.96970,0.96970,6,14
159887.SZ,银行ETF,金融,27.07506,,,,0.33298,-0.00860,,0.56779,,0.63608,-0.01709,-0.03375,0.50009,0.43239,1.20406,-0.13382,1.00000,1.00000,1.00000,1,15
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.63636,0.63636,0.63636,61,16
159936.SZ,可选消费ETF,消费,14.96240,,,,0.36536,0.10815,0.08065,0.41275,0.44646,0.39439,0.02032,0.08290,0.41977,0.40010,1.43215,0.29931,0.60000,0.60000,0.60000,67,17
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.95758,0.95758,0.95758,8,18
159805.SZ,传媒ETF,其他,20.24254,,,,0.46124,0.50277,0.13516,0.49206,0.47339,0.62122,0.33633,0.46524,0.59100,0.80755,1.29111,0.87914,0.92121,0.92121,0.92121,14,19
