ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,liquidity_score_normalized,liquidity_score_component,final_score,stage2_rank,final_rank
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.18166,0.33603,0.53122,0.70060,2.04696,1.11945,0.34158,0.34158,0.34158,427,1
513100.SH,纳指ETF,其他,23.39718,,,,0.34775,0.22938,1.20975,0.46605,0.54909,0.69306,0.14388,0.39731,0.58269,0.73292,1.04762,1.27973,0.94745,0.94745,0.94745,35,2
162411.SZ,华宝油气LOF,其他,18.14027,,,,0.50853,-0.10036,0.09958,0.29519,0.51130,0.64804,0.02743,-0.04462,0.46250,0.58102,0.92411,-0.09514,0.77898,0.77898,0.77898,144,3
510500.SH,中证500ETF,其他,23.18981,,,,0.25527,-0.08764,-0.18115,0.38689,0.48004,0.73528,-0.02312,0.04380,0.36136,0.21716,1.05020,0.16278,0.98764,0.98764,0.98764,9,4
159845.SZ,中证1000ETF,其他,25.30873,,,,0.45880,-0.04634,0.10249,0.34531,0.33968,0.75019,-0.04804,0.07248,0.23823,0.02969,0.79079,0.22098,0.99691,0.99691,0.99691,3,5
588000.SH,科创50ETF,其他,21.80597,,,,0.40464,-0.04731,-0.22664,0.29421,0.49763,0.76753,-0.00094,0.06215,0.36298,0.29709,0.97860,0.18373,1.00000,1.00000,1.00000,1,6
159869.SZ,游戏ETF,其他,27.92412,,,,0.93027,-0.08623,0.82645,0.32785,0.43845,0.69236,-0.15214,0.01304,0.29597,0.12160,1.40166,0.01580,0.94590,0.94590,0.94590,36,7
159625.SZ,绿色电力ETF,其他,18.89617,,,,0.24021,-0.00968,-0.03047,0.28361,0.43011,0.65411,0.03527,0.12426,0.26424,0.07900,0.96778,0.59966,0.80680,0.80680,0.80680,126,8
512880.SH,证券ETF,金融,19.07505,,,,0.46177,-0.09850,0.02026,0.52750,0.53898,0.73756,-0.06151,0.04308,0.43180,0.22893,0.95717,0.12041,0.99073,0.99073,0.99073,7,9
515220.SH,煤炭ETF,周期,22.24450,,,,0.40373,0.04202,0.04857,0.24122,0.47586,0.63576,-0.00949,0.19351,0.44412,0.61527,0.96860,0.53675,0.70170,0.70170,0.70170,194,10
159662.SZ,交运ETF,其他,21.42690,,,,0.26161,-0.11681,-0.31239,0.43195,0.37506,0.68534,-0.03369,0.03055,0.31897,0.14990,0.99327,0.13794,0.93199,0.93199,0.93199,45,11
515080.SH,中证红利ETF,其他,20.65189,,,,0.22423,-0.12802,-0.00570,0.52432,0.37005,0.71317,-0.01566,0.02068,0.53599,0.71359,0.95731,0.11581,0.96291,0.96291,0.96291,25,12
159629.SZ,1000ETF,其他,25.92029,,,,0.45661,-0.04809,0.09619,0.33579,0.33236,0.68168,-0.04982,0.07225,0.23225,0.02860,0.65854,0.21752,0.91963,0.91963,0.91963,53,13
512010.SH,医药ETF,医药,22.63881,,,,0.37712,-0.06480,-0.23530,0.39642,0.52808,0.72203,-0.07575,0.05799,0.39485,0.26007,0.99142,0.15518,0.97682,0.97682,0.97682,16,14
513180.SH,恒生科技指数ETF,科技,18.15439,,,,0.59049,-0.13652,-0.18870,0.43400,0.47623,0.75230,-0.05524,0.04618,0.39832,0.28474,1.07631,0.08455,0.99845,0.99845,0.99845,2,15
159915.SZ,创业板ETF,其他,23.46101,,,,0.35737,-0.11044,-0.35749,0.28438,0.50767,0.72912,-0.01361,0.02541,0.40457,0.42164,1.08068,0.06292,0.98145,0.98145,0.98145,13,16
510050.SH,上证50ETF,其他,20.24806,,,,0.28330,-0.17215,-0.22298,0.34168,0.48642,0.73304,0.00243,-0.01954,0.54160,0.79669,1.17223,-0.07723,0.98454,0.98454,0.98454,11,17
516670.SH,畜牧养殖ETF,其他,24.30838,,,,0.30858,-0.00277,-0.28020,0.38070,0.42475,0.64669,0.04996,0.16125,0.37680,0.32496,0.94580,0.47039,0.77434,0.77434,0.77434,147,18
516220.SH,化工龙头ETF,周期,28.27700,,,,0.31800,-0.15580,-0.41459,0.42279,0.36616,0.67980,0.01210,-0.00037,0.49197,0.68697,1.01480,-0.00114,0.91654,0.91654,0.91654,55,19
