ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,trend_quality_normalized,trend_quality_component,final_score,stage2_rank,final_rank
588180.SH,科创50ETF基金,其他,22.22159,,,,0.39417,-0.05564,-0.23507,0.38039,0.52790,0.63611,-0.01814,0.05412,0.41611,0.34003,0.97828,0.15964,0.51777,0.51777,0.51777,313,1
516620.SH,影视ETF,其他,26.31180,,,,0.67989,0.02982,0.10319,0.21285,0.47349,0.64969,-0.05648,0.14847,0.38252,0.46123,1.19890,0.21636,0.43586,0.43586,0.43586,366,2
159828.SZ,医疗ETF,医药,22.82153,,,,0.39419,-0.11007,-0.39311,0.43799,0.55604,0.67517,-0.09977,0.00528,0.46516,0.40146,0.93332,0.01215,0.63679,0.63679,0.63679,236,3
513970.SH,恒生消费ETF,消费,33.23705,,,,0.43029,-0.20830,,0.35120,,0.59699,0.02488,-0.03713,0.58691,0.82263,1.01586,-0.08365,0.95363,0.95363,0.95363,31,4
159686.SZ,A100ETF易方达,其他,29.70303,,,,0.31924,-0.15909,,0.41311,,0.38657,0.01178,-0.00910,0.59491,0.77672,0.35542,-0.02708,0.96136,0.96136,0.96136,26,5
516710.SH,新材料50ETF,其他,28.44332,,,,0.37462,-0.23863,-0.52985,0.46073,0.44846,0.51168,0.02339,-0.10547,0.57948,0.82926,1.11237,-0.25123,0.94127,0.94127,0.94127,39,6
515680.SH,央企创新ETF嘉实,其他,21.32949,,,,0.33084,-0.10709,0.08900,0.37532,0.44564,0.63623,-0.00334,0.02347,0.51583,0.72653,0.68649,0.09798,0.79289,0.79289,0.79289,135,7
560170.SH,央企科技ETF,科技,41.84658,,,,0.34147,-0.10037,,0.44388,,0.57941,-0.03340,0.02549,0.40599,0.36810,2.15120,0.07406,0.48995,0.48995,0.48995,331,8
516760.SH,养殖ETF,其他,24.17262,,,,0.30487,-0.00853,-0.30090,0.40563,0.46452,0.49519,0.03607,0.15914,0.38892,0.29660,0.83283,0.48239,0.45286,0.45286,0.45286,355,9
159731.SZ,石化ETF,周期,24.84444,,,,0.28528,-0.17863,-0.31684,0.37660,0.43099,0.44490,0.01520,-0.02170,0.54307,0.82162,1.08554,-0.09204,0.87944,0.87944,0.87944,79,10
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.15719,0.36461,0.56979,0.79969,1.63874,0.85075,0.91499,0.91499,0.91499,56,11
513650.SH,标普500ETF南方,其他,36.33760,,,,0.21990,0.19610,,0.51526,,0.53155,0.11612,0.35798,0.66997,0.82469,0.99611,1.65142,1.00000,1.00000,1.00000,1,12
159707.SZ,地产ETF,地产,21.88719,,,,0.48446,-0.37807,-0.58803,0.62463,0.49256,0.63048,-0.12500,-0.23913,0.65759,0.85558,0.98992,-0.51749,0.99845,0.99845,0.99845,2,13
161032.SZ,煤炭龙头LOF,周期,21.49954,,,,0.34817,0.06734,0.07297,0.34117,0.45522,0.51103,0.01233,0.21451,0.47903,0.64071,1.02388,0.71301,0.67543,0.67543,0.67543,211,14
513140.SH,港股金融ETF,金融,24.75600,,,,0.35602,-0.08603,,0.28884,0.37931,0.50208,0.04294,0.07125,0.44350,0.66236,0.72509,0.19402,0.58578,0.58578,0.58578,269,15
512800.SH,银行ETF,金融,21.44403,,,,0.29241,-0.15716,-0.06567,0.44992,0.53275,0.68281,0.00479,-0.00474,0.62734,0.89936,0.88409,-0.02287,0.98609,0.98609,0.98609,10,16
164701.SZ,黄金LOF,其他,21.87947,,,,0.23224,0.11323,0.31445,0.47430,0.55785,0.45511,0.06161,0.28381,0.57141,0.68210,1.00459,1.19622,0.91808,0.91808,0.91808,54,17
160216.SZ,国泰商品LOF,其他,16.91917,,,,0.33606,-0.21104,0.03627,0.46687,0.50202,0.51361,-0.04754,-0.11963,0.62261,0.89896,0.80011,-0.31131,0.98145,0.98145,0.98145,13,18
