ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
562960.SH,绿色电力ETF易方达,其他,31.43867,,,,0.24902,-0.01851,,0.34880,,0.55959,0.03372,0.12141,0.17440,0.00000,1.20975,0.58236,0.95054,0.95054,0.95054,33,1
159692.SZ,证券ETF东财,金融,35.60103,,,,0.45295,-0.10074,,0.54194,,0.64467,-0.05731,0.04217,0.39721,0.25248,0.95417,0.12576,0.97218,0.97218,0.97218,19,2
161724.SZ,煤炭等权LOF,周期,22.98664,,,,0.33163,0.05845,0.09330,0.25520,0.48285,0.44708,-0.01732,0.20374,0.46383,0.65345,0.76234,0.64173,0.52396,0.52396,0.52396,309,3
560070.SH,央企红利ETF基金,其他,31.89653,,,,0.25023,-0.15766,,0.50338,,0.58997,-0.03004,-0.01149,0.62665,0.74991,0.66423,-0.05043,0.95827,0.95827,0.95827,28,4
159506.SZ,港股通医疗ETF富国,医药,38.58588,,,,0.60013,-0.03859,,0.27757,,0.64681,-0.10774,0.09923,0.22979,0.18201,1.19294,0.15615,0.98918,0.98918,0.98918,8,5
159629.SZ,1000ETF,其他,25.92029,,,,0.45661,-0.04809,0.09619,0.33579,0.33236,0.68168,-0.04982,0.07225,0.23225,0.02860,0.65854,0.21752,0.81453,0.81453,0.81453,121,6
159676.SZ,创业板增强ETF富国,其他,33.86396,,,,0.32911,-0.08536,,0.29852,,0.42987,-0.01552,0.03980,0.35980,0.42109,1.38106,0.11706,0.96445,0.96445,0.96445,24,7
159691.SZ,港股红利ETF,其他,31.53404,,,,0.35348,-0.03013,,0.44255,,0.61326,0.08087,0.14830,0.23216,0.02176,1.15341,0.45185,0.95209,0.95209,0.95209,32,8
513970.SH,恒生消费ETF,消费,33.23705,,,,0.43029,-0.20830,,0.35120,,0.59699,0.02488,-0.03713,0.58691,0.82263,1.01586,-0.08365,0.96136,0.96136,0.96136,26,9
159673.SZ,沪深300ETF鹏华,其他,35.67943,,,,0.28028,-0.13748,,0.31470,,0.41009,0.01421,0.01098,0.52053,0.72637,1.32923,0.04191,0.97527,0.97527,0.97527,17,10
159616.SZ,农牧ETF,其他,27.40498,,,,0.26351,-0.06813,-0.37935,0.32504,0.44242,0.56650,0.01376,0.09567,0.26270,0.02064,1.31263,0.35400,0.88872,0.88872,0.88872,73,11
159671.SZ,稀有金属ETF基金,其他,31.69473,,,,0.45024,-0.05944,,0.19539,,0.64883,0.08343,0.08420,0.33502,0.47465,1.02613,0.17538,0.95363,0.95363,0.95363,31,12
159507.SZ,通信ETF广发,科技,39.66887,,,,0.47811,-0.09237,,0.28776,,0.61758,0.00250,0.02771,0.30462,0.32147,0.81016,0.06775,0.99382,0.99382,0.99382,5,13
159516.SZ,半导体设备ETF,科技,36.31986,,,,0.49578,-0.02377,,0.42514,,0.67831,-0.06659,0.07098,0.33542,0.24570,0.91216,0.15268,0.98145,0.98145,0.98145,13,14
563050.SH,央企科技50ETF,科技,43.62226,,,,0.33670,-0.08248,,0.36754,,0.46562,-0.01946,0.04129,0.34689,0.32625,1.14464,0.12350,0.99845,0.99845,0.99845,2,15
561950.SH,500指数增强ETF,其他,34.05411,,,,0.24681,-0.05572,,0.32391,,0.54863,0.00543,0.06793,0.25014,0.17636,1.12439,0.27652,0.96600,0.96600,0.96600,23,16
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.18166,0.33603,0.53122,0.70060,2.04696,1.11945,0.78671,0.78671,0.78671,139,17
501312.SH,海外科技LOF,科技,44.66154,,,,0.61169,0.65962,,0.43210,,0.50828,0.30888,0.82388,0.63569,0.83927,1.42555,1.24871,1.00000,1.00000,1.00000,1,18
164701.SZ,黄金LOF,其他,21.87947,,,,0.23224,0.11323,0.31445,0.47430,0.55785,0.45511,0.06161,0.28381,0.57141,0.68210,1.00459,1.19622,0.36785,0.36785,0.36785,410,19
160723.SZ,嘉实原油LOF,其他,22.93991,,,,0.55065,-0.07151,0.19830,0.43559,0.54494,0.55185,-0.03717,-0.00896,0.36704,0.12059,0.46770,-0.00978,0.51932,0.51932,0.51932,312,20
