,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,8188,37,39,1.2206872853934838,1.2087206439079412,,,-107.92885654618289,9.945996062560035,-0.010798298309418707,2024-03-01,2024-03-05,4 days,,1.2025260090319292,1.2033853140656403,0.33610366291895605,0.2494841030381688,0.0015915341798677929,0.00042965251685582,0.024690616220123023,0.027034375547478385
1,8123,40,46,1.2170901066051645,1.1687971638161914,,,-401.9738554236449,9.690281148816338,-0.04065918057802231,2024-03-06,2024-03-14,8 days,,1.2035292521728118,1.204826894282367,0.25428397299069916,0.03287728993197098,0.0006633231146654003,-0.0002621565797221355,0.026444535268703218,0.022260954685137804
2,7547,125,137,1.2567095948636415,1.305544750801925,,,358.8902550928555,9.668666773369015,0.0378401095685201,2024-07-11,2024-07-29,18 days,,1.24584347679499,1.2884289086226244,0.2223506000078212,0.19414340679230038,0.0004533933087860949,0.00046737515597428114,0.020446428192919874,0.02256902883913044
3,5113,233,234,1.9252463356831788,1.919264231810162,,,-40.41498836853155,9.828491265796726,-0.00410563521678306,2024-12-19,2024-12-20,1 days,,1.927541546480264,1.927275245926611,0.017772640937362222,0.19073362989240836,2.6763463396288028e-05,-0.00014819173874514036,0.04419182600456806,0.04089048959996441
4,4949,236,243,1.9809337192816645,1.839365854105053,,,-710.0726960533955,9.453331294345432,-0.07242948795648424,2024-12-24,2025-01-03,10 days,,1.9340889838165258,1.9559662203913606,0.3211012054434542,0.10211870746026692,0.003406868944956898,-0.0014972207321234758,0.044403698629146525,0.05596191472345537
5,4590,281,293,1.981015913550032,2.023765837089747,,,187.03117492957287,9.190974117718294,0.02056900824757857,2025-03-06,2025-03-24,18 days,,1.9534766582686205,1.974505823193935,0.24368859066624482,0.1291168260981184,0.0012924449473796784,0.0009018768035170174,0.03459557781126188,0.03686222464444278
6,4731,312,320,1.9613398207235888,1.9357435710891784,,,-130.31440778372885,9.2185507633331,-0.014043864831212543,2025-04-21,2025-05-06,15 days,,1.944517992556887,1.945787612686563,0.11302499174613734,0.09127493982137369,0.0004072065263862612,-0.00016726627683875486,0.03610978253819149,0.028911839789105803
7,4573,322,335,2.000758761740174,2.0996991460944816,,,443.0786806459854,9.375697006263941,0.048426705534513996,2025-05-08,2025-05-27,19 days,,1.9570995755173606,2.092072000809233,0.5140970623209107,0.21402646713590387,0.005655981415398988,0.00024345462548266047,0.036682174781155825,0.033840303606699346
8,4552,336,382,2.107526960733214,2.375329812600491,,,1208.8355996837386,10.202982016107512,0.12600618090703852,2025-05-28,2025-08-01,65 days,,2.0928086329190654,2.3792865438082975,0.23833188205839964,0.13994169736041437,0.000638159650864741,-0.00021565789383615197,0.03204428300085263,0.045667770169606735
9,4630,461,461,2.3329505031293287,2.3329505031293287,,,-10.801560829488793,10.801560829488793,-0.001,2025-11-28,2025-11-28,0 days,,2.3331321721024105,2.3331321721024105,0.09076436812856187,0.09076436812856187,-1.5685457837477657e-05,-1.5685457837477657e-05,0.04098835473281669,0.04098835473281669
