ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,momentum_12m_normalized,momentum_12m_component,final_score,stage2_rank,final_rank
161128.SZ,标普信息科技LOF,科技,24.61880,,,,0.50280,0.30516,1.40582,0.39196,0.53137,0.58961,0.09985,0.50040,0.57986,0.81623,1.37491,1.18008,1.00000,1.00000,1.00000,1,1
516770.SH,游戏ETF华泰柏瑞,其他,30.36186,,,,0.91444,-0.08375,0.83318,0.36278,0.50301,0.65571,-0.14627,0.01572,0.33212,0.13058,1.19853,0.01949,0.98964,0.98964,0.98964,7,2
162415.SZ,美国消费LOF,消费,22.91449,,,,0.39186,0.17279,0.71006,0.45402,0.48271,0.47574,0.14725,0.36199,0.55237,0.72036,1.40448,1.02239,0.98446,0.98446,0.98446,10,3
159612.SZ,标普500ETF,其他,22.80857,,,,0.26178,0.15585,0.58169,0.45970,0.37700,0.59073,0.11080,0.32153,0.53278,0.76164,0.94336,1.32544,0.98273,0.98273,0.98273,11,4
513520.SH,日经ETF,其他,21.67082,,,,0.46207,0.16902,0.57263,0.41669,0.49299,0.56489,0.15719,0.36461,0.56979,0.79969,1.63874,0.85075,0.98100,0.98100,0.98100,12,5
159655.SZ,标普ETF,其他,24.06482,,,,0.26539,0.15558,0.56377,0.44526,0.39460,0.48732,0.11559,0.31599,0.53306,0.75930,1.54968,1.36444,0.97927,0.97927,0.97927,13,6
515880.SH,通信ETF,科技,24.48275,,,,0.65806,-0.10504,0.54082,0.16206,0.47625,0.65265,0.01213,-0.00724,0.26826,0.16647,1.04703,-0.01380,0.97582,0.97582,0.97582,15,7
513080.SH,法国CAC40ETF,其他,22.74169,,,,0.32682,0.11196,0.52631,0.38909,0.41831,0.54378,0.09816,0.29955,0.54639,0.83177,1.29647,1.06485,0.97409,0.97409,0.97409,16,8
513030.SH,德国ETF,其他,23.26053,,,,0.32099,0.17636,0.52539,0.43876,0.42359,0.60506,0.09632,0.38076,0.57245,0.85500,1.40972,1.31577,0.97237,0.97237,0.97237,17,9
161125.SZ,标普500LOF,其他,23.77224,,,,0.23477,0.11583,0.52485,0.48684,0.53196,0.49464,0.12459,0.27887,0.56326,0.67099,1.15983,1.40505,0.97064,0.97064,0.97064,18,10
159805.SZ,传媒ETF,其他,26.26154,,,,0.74193,-0.08967,0.50319,0.33088,0.48364,0.63796,-0.13425,0.01730,0.30438,0.09862,1.39076,0.02616,0.96891,0.96891,0.96891,19,11
513800.SH,日本东证指数ETF,其他,24.71760,,,,0.28453,0.04004,0.49151,0.42524,0.43938,0.52407,0.10647,0.20624,0.52678,0.71572,1.27418,0.64616,0.96718,0.96718,0.96718,20,12
513000.SH,日经225ETF易方达,其他,20.79955,,,,0.48166,0.10533,0.47547,0.39621,0.49811,0.54220,0.10796,0.29534,0.55515,0.77114,1.76360,0.80221,0.96546,0.96546,0.96546,21,13
159747.SZ,香港科技ETF,科技,21.73824,,,,1.21421,-0.19456,0.45353,0.44291,0.35322,0.60959,-0.08049,-0.01959,0.44081,0.52628,0.88942,-0.03431,0.96200,0.96200,0.96200,23,14
513880.SH,日经225ETF,其他,25.37509,,,,0.32544,0.10394,0.44613,0.40128,0.45775,0.50782,0.11635,0.28878,0.53960,0.75976,2.01551,0.79676,0.96028,0.96028,0.96028,24,15
159866.SZ,日经ETF,其他,22.92589,,,,0.34261,0.12314,0.43822,0.40082,0.51062,0.55456,0.14086,0.30686,0.55652,0.75813,1.34335,0.77696,0.95855,0.95855,0.95855,25,16
164824.SZ,印度基金LOF,其他,25.46628,,,,0.27126,0.19113,0.38015,0.41336,0.47969,0.57063,0.18166,0.33603,0.53122,0.70060,2.04696,1.11945,0.95682,0.95682,0.95682,26,17
161127.SZ,标普生物科技LOF,科技,23.44460,,,,0.37882,0.52395,0.36874,0.51224,0.50497,0.48433,0.43267,0.64675,0.59077,0.75509,2.13699,1.35433,0.95509,0.95509,0.95509,27,18
513360.SH,教育ETF,其他,18.86271,,,,0.62533,0.18863,0.35273,0.16856,0.44884,0.64573,-0.16312,0.20701,0.31626,0.33136,1.23591,0.37454,0.95337,0.95337,0.95337,28,19
159719.SZ,国企共赢ETF,其他,22.37613,,,,0.40441,-0.15803,0.35063,0.30758,0.40583,0.61879,0.03065,-0.00456,0.47801,0.72062,0.87687,-0.01866,0.95164,0.95164,0.95164,29,20
