ts_code,name,volume_score,trend_score,liquidity_score,momentum_score,volume_norm,trend_norm,liquidity_norm,momentum_norm,composite_score
161124.SZ,港股小盘LOF,2.4402012186481508,0.5116231438812083,0.3039712969627591,0.1451086683252294,1.0,0.9549299681042852,0.0,0.39751799465376797,0.7262307898966623
159974.SZ,央企创新ETF,2.235280506953491,0.4181259600614439,0.4503894871457688,0.9177883872159665,0.9027702994688498,0.7017057273609765,0.33866941355842006,0.693805725547144,0.7087342932622313
159805.SZ,传媒ETF,1.2911055105894378,0.4920634920634921,0.621222530003033,0.1351565281201843,0.4547831175666836,0.9019553459991683,0.7338110716307902,0.3937017989302427,0.6386322450456062
159922.SZ,中证500ETF,1.2016695370159107,0.4649257552483359,0.6593306879337226,0.4164418990003271,0.41234800763878593,0.8284565247538486,0.8219563183521633,0.5015620186746208,0.6280236260195636
159959.SZ,央企ETF,1.743076840954872,0.4552483358934971,0.4384612977842992,0.5869506762876948,0.6692320951086741,0.8022465677437249,0.31107917432097687,0.5669444241975773,0.6272770856505402
164906.SZ,中概互联网LOF,1.4815716465574484,0.4589349718381976,0.6397861997730895,-0.7061346772141446,0.545154487099545,0.812231313271391,0.7767493646574906,0.07110466566148442,0.6241915283188819
161127.SZ,标普生物科技LOF,1.8004495302570511,0.4300563236047107,0.5174588303538803,-0.3914693484678065,0.6964539867046273,0.7340174733046736,0.4938027006428228,0.1917645897745624,0.6167238357792738
159982.SZ,中证500ETF鹏华,0.8990424619387062,0.4999999999999999,0.6527886328910072,0.6191309908614642,0.2687591061605496,0.9234502842878934,0.8068243600755719,0.5792841196126262,0.6038320117269649
159941.SZ,纳指ETF,1.1289862167195153,0.4355862775217614,0.6522803838961956,0.6003762823157219,0.3778616084476768,0.7489945915961727,0.8056487657809056,0.5720925369908355,0.5941820277131873
159819.SZ,人工智能ETF,0.9661638195242106,0.5015873015873016,0.6380936888603141,0.1764843817767349,0.300606494564154,0.9277492719456388,0.7728345390640694,0.4095491619232455,0.5940892034144918
161126.SZ,标普医疗保健LOF,1.6521571648690294,0.456989247311828,0.3856687214935719,0.452168854051058,0.626093005823313,0.8069615864651231,0.18896845276191837,0.5152616903301772,0.5818455378542635
159960.SZ,恒生中国企业ETF,1.2793388191710346,0.5087557603686637,0.5091974379893445,-0.3508218599707957,0.4492001197652778,0.9471640549161009,0.4746938665302289,0.2073510634956321,0.5795031440365505
159920.SZ,恒生ETF,1.1758422585112394,0.4057859703020993,0.7205660674231373,-0.2397195802851989,0.4000936164951246,0.6682845652475385,0.9635954824122165,0.24995376360582042,0.5782372890153368
159968.SZ,中证500ETF博时,0.9161086277526166,0.4998463901689708,0.5932883238151075,0.5485612331234497,0.27685657067538083,0.923034253224241,0.6691984629374308,0.5522238087506968,0.5767149776999805
160140.SZ,美国REIT精选LOF,1.035875016073036,0.526984126984127,0.4546033274776648,0.8486994521291558,0.3336826961255166,0.9965330744695607,0.348416145383532,0.667313243207763,0.5688475541885576
159806.SZ,新能源车ETF,0.9384781135766466,0.3719406041986687,0.6940914550348862,1.4719563476786923,0.28747032655061444,0.5766190542227154,0.902358955444436,0.9063040783899337,0.559076045814941
159994.SZ,5GETF,0.9326377236199082,0.4807987711213517,0.6110982146561258,0.1542783363779065,0.28469920906921053,0.8714464013312996,0.7103932439897582,0.40103414769098433,0.5574956675941241
159919.SZ,沪深300ETF,1.3297463061533958,0.3487967229902713,0.6832591527745917,-0.0058708800392146,0.4731171988310859,0.5139370406323672,0.8773035340559043,0.33962416529271344,0.5528511150625968
159996.SZ,家电ETF,1.1966706336340116,0.3962109575012801,0.6548005242310144,-0.1163221865634021,0.4099761542776165,0.6423519622798505,0.8114779216269875,0.29727108395230895,0.5487187431156301
159993.SZ,证券ETF龙头,1.1263082617712372,0.4181259600614439,0.6245839229473463,0.1122328377502164,0.37659098648124056,0.7017057273609765,0.7415860685472738,0.3849116003041278,0.5479564865406568
160125.SZ,南方香港LOF,1.6313158922295978,0.446236559139785,0.3901594888391371,-0.1877937149034928,0.6162043484950123,0.7778394120094304,0.19935572459917367,0.2698649848433953,0.5466912064050082
159906.SZ,深成长龙头ETF,0.9767421817993784,0.4514592933947772,0.625073542234569,0.0200018634121972,0.30562566020933846,0.7919844681736237,0.7427185718015713,0.34954519241661713,0.5433438381377985
161128.SZ,标普信息科技LOF,0.8897053490480509,0.479057859703021,0.5474634280377391,0.7616597902922664,0.2643288819890824,0.8667313826099018,0.5632041834022233,0.6339374689084176,0.5417855511498899
160717.SZ,H股LOF,1.1186441836618437,0.5160778289810548,0.4790372981820758,-0.4011977521625126,0.37295457504551405,0.9669948689502152,0.40493261044175616,0.18803418688517742,0.5390702314801392
161125.SZ,标普500LOF,0.8636546296039687,0.5282642089093701,0.4719530180810371,0.5775298933265909,0.25196847376473824,1.0,0.38854647027499456,0.5633319799486308,0.5348298815557573
159992.SZ,创新药ETF,1.0547803989565572,0.390373783922171,0.6911473290192289,-0.1619444433729029,0.34265282267343944,0.6265427818610457,0.8955491087312751,0.279777011547086,0.5321114865286531
159939.SZ,信息技术ETF,1.365468158814796,0.4068612391193036,0.4921167433259126,0.2472968353679252,0.49006631543312595,0.6711967826931079,0.43518573685314066,0.43670253566993383,0.5280929619188042
501057.SH,新能源车LOF,0.8167014724008037,0.4097286226318485,0.6007055463607088,1.452720935142875,0.2296903869081097,0.6789626958812929,0.6863547083917102,0.8989281675258345,0.5227287219585572
