,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,13185,32,37,0.758028626267155,0.7141578194664581,,,-588.1419768106872,9.705389143498843,-0.058845930717981526,2022-02-24,2022-03-03,7 days,,0.7333421362483014,0.7345544243365425,0.32791410196500764,0.19210420090317892,0.0018712879889002387,-0.0007908592238014359,0.02931174484484698,0.02617862026966491
1,20549,82,105,0.4577791385648579,0.5058930376783979,,,978.7912631093216,9.901249774811333,0.10405031381452927,2022-05-12,2022-06-15,34 days,,0.4333768321933985,0.48977697469158055,0.08561377515658307,0.16987536217494972,0.0003015982312636704,0.0005659902262887447,0.022054278058300986,0.020094034076985207
2,16123,314,315,0.6441268044345702,0.6131337949877048,,,-509.8356976340525,10.13540632224267,-0.04909225874295779,2023-04-21,2023-04-24,3 days,,0.6388869282155326,0.6387594463504739,0.03722878606284341,0.009700516659067293,0.0008098403913138578,-0.00015029567511722539,0.0329910267652742,0.030402212259265288
3,17702,450,456,0.5578757709221442,0.5287138455620045,,,-525.8418074206947,9.6174046955012,-0.05324701612203087,2023-11-14,2023-11-22,8 days,,0.5454397471444665,0.5462592261728142,0.09156916578945189,0.20975345524553785,0.0001592413636974932,-0.0007672505910276683,0.01482442031329727,0.015514937965674372
4,17291,470,472,0.5407467659048,0.5322792963271721,,,-155.68786328779044,9.276846821026513,-0.016651015182084408,2023-12-12,2023-12-14,2 days,,0.5349042124006896,0.5348011806259368,0.07687653122147203,0.08098865836657991,8.186562666153326e-05,-5.151588737639656e-05,0.015394761823411544,0.014212882728962546
