,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_KAMA,Exit_KAMA,Entry_EfficiencyRatio,Exit_EfficiencyRatio,Entry_KamaSlope,Exit_KamaSlope,Entry_ATR,Exit_ATR
0,5985,77,81,1.6697903868487465,1.578025340629439,,,-558.9328901870331,9.71908856447847,-0.055928549366780995,2022-05-05,2022-05-11,6 days,,1.5357338039997788,1.5626246024865045,0.3632107347777325,0.14421024823153472,0.0067203078170390285,0.0004109822231711154,0.0724791275315155,0.08325684115740449
1,4610,164,166,2.0467068760923697,1.8972828944052629,,,-697.9354519985594,9.090896420997042,-0.0739705222769394,2022-09-06,2022-09-08,2 days,,1.9674001648144013,1.9619265518062667,0.4966653088269453,0.22457792984616545,0.010943715393061382,-0.0027368065040676015,0.06673113943393837,0.07305036139653005
2,4408,171,173,1.9823870143821565,1.9409735576377976,,,-191.1976040298661,8.647086700731979,-0.02188025683970063,2022-09-16,2022-09-20,4 days,,1.963004579870299,1.9619957403882609,0.19012540688825857,0.1304686568510933,0.0015277697312162293,-0.0005044197410194092,0.07726984404841564,0.0740637828149367
3,3437,215,223,2.486773691210113,2.3443167102350904,,,-497.92687246603657,8.302228854883582,-0.05825722167152554,2022-11-24,2022-12-06,12 days,,2.4154997720567604,2.4191656758437543,0.21314567474997045,0.2514386199886988,0.004666525067974566,-0.0025448752925463225,0.06804294175484268,0.0686804676178633
4,3727,302,321,2.159435918331372,1.9355038639021704,,,-842.2256871418267,7.630920284192207,-0.10464747872441432,2023-04-04,2023-05-05,31 days,,1.9352686182213978,2.0581450630657008,0.009396087050969022,0.08507843972894213,0.001676953666565358,-0.0011965797318171194,0.07528751874317369,0.10769971931868111
5,2755,424,425,2.615817363890719,2.5791798319244505,,,-108.09250920430544,7.156108637235397,-0.014999147534451196,2023-10-09,2023-10-10,1 days,,2.622893374828103,2.621401953130261,0.07105779389873078,0.12206982322115596,0.003267349875269332,-0.0007590537228233293,0.0855817310248099,0.08535200621719903
6,2926,477,480,2.426522263783855,2.443438644938898,,,42.37257845019383,7.124752809461388,0.005967965312669098,2023-12-21,2023-12-26,5 days,,2.439320509030929,2.4399442982361688,0.04413742339174475,0.04787669076292468,0.00019416965059685745,5.1046956768274754e-05,0.050008068951499056,0.04602945202202026
7,2856,481,483,2.500761706282014,2.4280621520603343,,,-214.66828732683018,7.038360469712874,-0.03005642879209006,2023-12-27,2023-12-29,2 days,,2.4413179737863504,2.441710305257876,0.12018115149195752,0.011941608006801434,0.0007632882265446265,0.00019616573576245835,0.04755623630600119,0.04892007233748611
