ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
513170.SH,恒生央企ETF,其他,48.15901,,,,0.43281,0.05267,,0.55238,,0.50200,-0.41088,-0.47705,0.37324,0.19410,1.02995,-1.03660,1.00000,1.00000,1.00000,1,1
159553.SZ,2000ETF增强,其他,45.43068,,,,0.70957,0.43270,,0.47778,,0.34451,-0.00820,-0.02270,0.23990,0.00202,1.63492,-0.03255,0.99870,0.99870,0.99870,2,2
159599.SZ,芯片ETF基金,科技,45.33770,,,,0.68081,0.27769,,0.50794,,0.50534,-0.14520,-0.16447,0.49729,0.48664,0.99858,-0.21406,0.99740,0.99740,0.99740,3,3
588890.SH,科创芯片ETF南方,科技,44.49901,,,,0.96332,0.70133,,0.49365,,0.36141,0.21211,0.26789,0.33791,0.18217,1.27247,0.22919,0.99610,0.99610,0.99610,4,4
159589.SZ,红利ETF广发,其他,42.61451,,,,0.34957,0.15116,,0.50159,,0.50431,-0.27499,-0.34438,0.40144,0.30129,0.78615,-0.79982,0.99350,0.99350,0.99350,6,5
560850.SH,信创50ETF,其他,42.20750,,,,0.69552,0.34785,,0.48413,,0.54769,0.11581,0.00841,0.27912,0.07411,0.99629,0.01107,0.99220,0.99220,0.99220,7,6
159545.SZ,恒生红利低波ETF,其他,41.20756,,,,0.38078,0.15269,,0.53492,,0.49595,-0.37471,-0.35994,0.28672,0.03852,1.21608,-0.90644,0.99090,0.99090,0.99090,8,7
159547.SZ,红利低波ETF基金,其他,39.41406,,,,0.33496,0.08311,,0.60635,,0.43688,-0.39767,-0.38688,0.42882,0.25130,0.70492,-0.95403,0.98960,0.98960,0.98960,9,8
159563.SZ,创业板综ETF华夏,其他,38.91574,,,,0.78214,0.68375,,0.49683,,0.46524,0.36050,0.28755,0.25790,0.01898,0.91278,0.27182,0.98700,0.98700,0.98700,11,9
562060.SH,标普红利ETF,其他,38.65466,,,,0.38783,0.11569,,0.53492,,0.63938,-0.18297,-0.32438,0.39958,0.26423,0.75541,-0.63897,0.98570,0.98570,0.98570,12,10
159581.SZ,红利ETF基金,其他,38.62328,,,,0.33386,0.12590,,0.58413,,0.50102,-0.26792,-0.33358,0.41358,0.24302,1.21229,-0.79085,0.98440,0.98440,0.98440,13,11
513210.SH,恒生ETF易方达,其他,38.51254,,,,0.45729,0.40907,,0.52063,,0.40216,-0.15106,-0.13451,0.29719,0.07375,1.58326,-0.27537,0.98309,0.98309,0.98309,14,12
562820.SH,集成电路ETF,其他,37.84872,,,,0.68726,0.25087,,0.49365,,0.56493,-0.11594,-0.16699,0.49438,0.49510,0.67514,-0.21579,0.98179,0.98179,0.98179,15,13
159582.SZ,半导体产业ETF,科技,37.82527,,,,0.69729,0.33466,,0.48571,,0.56490,-0.15414,-0.11464,0.43142,0.37713,0.72777,-0.14560,0.98049,0.98049,0.98049,16,14
159307.SZ,红利低波100ETF,其他,37.45519,,,,0.35099,0.19645,,0.57302,,0.47361,-0.28716,-0.27501,0.38647,0.19992,0.80703,-0.64561,0.97919,0.97919,0.97919,17,15
513870.SH,纳指ETF富国,其他,37.04428,,,,0.54261,-0.06307,,0.22125,0.52447,0.64727,-0.55760,-0.60419,0.31820,0.20888,0.66717,-1.07120,0.97789,0.97789,0.97789,18,16
517400.SH,黄金股票ETF,其他,36.63534,,,,0.65957,0.10110,,0.39908,,0.54251,-0.32672,-0.38950,0.46655,0.53402,0.87937,-0.57513,0.97659,0.97659,0.97659,19,17
562600.SH,医疗器械ETF,医药,36.58707,,,,0.52100,0.24961,,0.48095,,0.40872,-0.09880,-0.13449,0.35722,0.23348,1.04843,-0.18979,0.97529,0.97529,0.97529,20,18
159591.SZ,中证A50ETF,其他,36.57738,,,,0.41317,0.47555,,0.48095,,0.52769,-0.01910,-0.00527,0.24417,0.00739,1.33610,-0.00949,0.97399,0.97399,0.97399,21,19
159560.SZ,芯片ETF景顺,科技,36.32571,,,,0.64739,0.25811,,0.50317,0.41098,0.46967,-0.13162,-0.18175,0.46983,0.49534,0.80770,-0.23782,0.97269,0.97269,0.97269,22,20
