ts_code,name,industry,adx_mean,trend_consistency,price_efficiency,liquidity_score,momentum_3m,momentum_12m,excess_return_20d,excess_return_60d,trend_quality,volume_trend,idr,final_score,volatility,return_dd_ratio,annual_return,max_drawdown
513170.SH,恒生央企ETF,其他,48.159014549206645,0.5523809523809523,,0.5020045506340984,0.05266813491142397,,-0.41088281716729247,-0.4770497701587939,0.3732392936826376,1.02994848785557,-1.0365955342182327,1.0,0.43281489349568325,,,
159553.SZ,2000ETF增强,其他,45.43067647503502,0.47777777777777775,,0.34450774655556965,0.4326963254867402,,-0.008203437928111068,-0.02269830876732315,0.23989716292955315,1.6349179206566347,-0.032548998273470575,0.9986996098829649,0.709565515948645,,,
159599.SZ,芯片ETF基金,科技,45.33769705195372,0.5079365079365079,,0.5053402357931064,0.2776910726717867,,-0.14520239048623007,-0.16447473369181176,0.49728949033418934,0.9985803357368523,-0.21406308415437614,0.9973992197659298,0.680811088572737,,,
588890.SH,科创芯片ETF南方,科技,44.49901257800054,0.4936507936507937,,0.3614103482192794,0.7013289576093598,,0.2121090415608473,0.2678945381282374,0.33791030743010436,1.272472460655988,0.22918794201403625,0.9960988296488946,0.963321338629086,,,
159526.SZ,机器人ETF嘉实,其他,42.95152778955973,0.4888888888888889,,0.44526813283156497,0.28169171620680045,,0.01698495748124107,-0.12744745139649472,0.2818037736160336,0.8657751410398976,-0.16572702001897974,0.9947984395318595,0.6431136565246353,,,
159589.SZ,红利ETF广发,其他,42.61450987080718,0.5015873015873016,,0.5043052149874797,0.15116195625335527,,-0.2749889813054949,-0.34438466625333697,0.40143675358415865,0.7861465061944123,-0.7998248547322059,0.9934980494148244,0.3495742109107594,,,
560850.SH,信创50ETF,其他,42.20749864972536,0.4841269841269841,,0.5476948007259075,0.3478510600868716,,0.11581337970662053,0.00840926868069225,0.27911624777905325,0.9962930717743095,0.011073974739002988,0.9921976592977894,0.6955154184182073,,,
159545.SZ,恒生红利低波ETF,其他,41.20755921616782,0.5349206349206349,,0.49594716672332967,0.15268806506691024,,-0.37471074780486124,-0.35994249592390326,0.28671955054502307,1.216083887631409,-0.906437867176919,0.9908972691807543,0.38078020731841217,,,
159547.SZ,红利低波ETF基金,其他,39.41405739989127,0.6063492063492064,,0.4368778410121327,0.08310974843119379,,-0.3976678722493834,-0.38687723386318806,0.42882360203160064,0.7049229973027303,-0.9540295960251687,0.9895968790637191,0.33496244838815176,,,
159310.SZ,芯片ETF天弘,科技,39.162330467649504,0.5158730158730158,,0.4450786966003855,0.3299513392649327,,-0.07277741622423872,-0.102140304232329,0.48170084342899766,0.9357311626610739,-0.12298467587318691,0.988296488946684,0.711803743302809,,,
159563.SZ,创业板综ETF华夏,其他,38.91573933034639,0.49682539682539684,,0.46524017712616883,0.6837510902468569,,0.36049677429159876,0.28754607459792947,0.25790400013135145,0.9127760105996319,0.271815939764367,0.9869960988296489,0.7821361579048145,,,
562060.SH,标普红利ETF,其他,38.6546623720373,0.5349206349206349,,0.639378380818242,0.11568929667563599,,-0.18296562627623625,-0.32438300873014425,0.3995753951709961,0.7554119911835743,-0.6389707777287518,0.9856957087126138,0.38782990935578054,,,
159581.SZ,红利ETF基金,其他,38.623280717277524,0.5841269841269842,,0.5010249130311832,0.12589536021515801,,-0.2679202351505352,-0.3335781250924088,0.41357509758865235,1.2122930370029168,-0.7908491799497188,0.9843953185955787,0.3338577605774279,,,
513210.SH,恒生ETF易方达,其他,38.51253574878692,0.5206349206349207,,0.40216435136635786,0.4090722216853375,,-0.15105524727578445,-0.13450985240861435,0.29719357409624214,1.5832632566897284,-0.275369421092813,0.9830949284785435,0.45729374760246877,,,
562820.SH,集成电路ETF,其他,37.848722209073614,0.4936507936507937,,0.5649319895074953,0.250869177108372,,-0.1159429018578153,-0.16698722988810277,0.4943752068344147,0.6751393370041813,-0.21579152440466506,0.9817945383615084,0.6872569831727189,,,
159582.SZ,半导体产业ETF,科技,37.8252738186086,0.48571428571428577,,0.5649034040302168,0.3346561113171793,,-0.15413520764177235,-0.11463980376420957,0.4314223621438742,0.7277747191676518,-0.14559517750298234,0.9804941482444733,0.6972855246565155,,,
159307.SZ,红利低波100ETF,其他,37.45519108264845,0.573015873015873,,0.47361220147125316,0.19645293817860265,,-0.28716332025812874,-0.27500916951051435,0.3864682317360002,0.8070295394326862,-0.6456100295794175,0.9791937581274383,0.3509907654278811,,,
513870.SH,纳指ETF富国,其他,37.0442829556193,0.22124935995903744,0.5244743012661925,0.6472661310762342,-0.06306753759689909,,-0.5576004299423081,-0.6041909067109691,0.31820069164167925,0.6671700428328363,-1.0712012219944713,0.9778933680104032,0.5426054475402975,,,
517400.SH,黄金股票ETF,其他,36.635341078281584,0.3990783410138249,,0.5425098314279806,0.1010962038629093,,-0.3267216805245361,-0.3895038868082814,0.4665488981362467,0.8793660332614671,-0.5751250316390294,0.976592977893368,0.6595730168936518,,,
562600.SH,医疗器械ETF,医药,36.5870698077416,0.480952380952381,,0.4087187778600564,0.24961283004162782,,-0.0987984451386783,-0.1344898473456504,0.3572179444934723,1.0484292024939463,-0.1897869116834056,0.9752925877763329,0.5209990063618333,,,
159591.SZ,中证A50ETF,其他,36.57737846565726,0.480952380952381,,0.5276873484857971,0.4755453716326046,,-0.019100291209126263,-0.005273571160448132,0.24417174253912927,1.3360985860161927,-0.009485407496993758,0.9739921976592978,0.4131702911630051,,,
