ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
588500.SH,科创100增强ETF易方达,其他,52.71505,,,,1.31825,0.50566,,0.26549,,0.51718,-0.07901,-0.16485,0.25330,0.24111,0.38235,-0.15823,1.00000,1.00000,1.00000,1,1
159332.SZ,央企红利ETF,其他,48.80408,,,,0.47983,0.18703,,0.39386,,0.58034,0.05022,0.16194,0.42480,0.45575,0.78103,0.36751,0.99876,0.99876,0.99876,2,2
562700.SH,汽车零部件ETF,制造,48.43851,,,,0.65485,0.36623,,0.27680,,0.45567,-0.03006,0.04953,0.29981,0.32281,0.37069,0.07553,0.99752,0.99752,0.99752,3,3
560360.SH,软件指数ETF,科技,47.27259,,,,0.89361,0.90880,,0.30978,,0.59452,-0.14228,0.29862,0.32978,0.34977,0.53897,0.32078,0.99627,0.99627,0.99627,4,4
159300.SZ,300ETF,其他,46.06463,,,,3.42739,0.22483,,0.16682,,0.61510,0.00594,-0.03837,0.09547,0.02412,0.79182,-0.07034,0.99379,0.99379,0.99379,6,5
159331.SZ,红利港股ETF,其他,46.02215,,,,0.67511,0.14876,,0.42069,,0.46202,0.08202,0.17441,0.22477,0.02886,1.57892,0.21952,0.99255,0.99255,0.99255,7,6
520830.SH,沙特ETF,其他,45.07618,,,,0.48855,-0.00395,,0.38085,,0.58227,0.02657,0.23127,0.32830,0.27576,0.57780,1.09756,0.99130,0.99130,0.99130,8,7
159329.SZ,沙特ETF,其他,43.98388,,,,0.51934,0.01584,,0.41464,,0.61077,0.04055,0.25210,0.41269,0.41073,0.53501,1.14044,0.99006,0.99006,0.99006,9,8
159542.SZ,工程机械ETF,制造,42.91294,,,,0.54113,0.18907,,0.18571,,0.38965,-0.01032,0.08264,0.14567,0.10562,0.65020,0.16092,0.98882,0.98882,0.98882,10,9
588890.SH,科创芯片ETF南方,科技,42.50820,,,,1.16757,1.59849,,0.28454,,0.63615,0.01625,0.19507,0.35083,0.41713,0.44645,0.16581,0.98758,0.98758,0.98758,11,10
159599.SZ,芯片ETF基金,科技,41.53976,,,,0.86023,1.21886,,0.23661,,0.63171,0.03354,0.47771,0.22573,0.21486,0.86160,0.46854,0.98634,0.98634,0.98634,12,11
563150.SH,油气资源ETF,其他,41.36100,,,,0.46992,0.11536,,0.33820,,0.43591,0.00228,0.02764,0.17365,0.00909,0.94008,0.05928,0.98509,0.98509,0.98509,13,12
159318.SZ,恒生港股通ETF,其他,40.95661,,,,0.45108,0.10866,,0.21679,,0.56219,0.03766,0.13914,0.11051,0.00423,0.49510,0.29375,0.98385,0.98385,0.98385,14,13
588450.SH,科创50ETF增强,其他,40.65409,,,,1.04094,0.93389,,0.19411,,0.58413,-0.01512,-0.00009,0.19794,0.20176,0.61041,-0.00011,0.98261,0.98261,0.98261,15,14
560850.SH,信创50ETF,其他,40.13830,,,,0.82643,0.90453,,0.27122,,0.61180,-0.12387,0.29903,0.35007,0.42891,0.83213,0.31544,0.98137,0.98137,0.98137,16,15
159583.SZ,通信设备ETF,科技,40.07638,,,,0.78268,0.48346,,0.27092,,0.51525,0.00983,0.08926,0.13547,0.00003,1.11666,0.12371,0.98012,0.98012,0.98012,17,16
159597.SZ,创业板成长ETF易方达,其他,39.92396,,,,1.05708,0.61859,,0.41639,,0.55334,-0.06679,-0.15155,0.20841,0.00043,0.27664,-0.17475,0.97888,0.97888,0.97888,18,17
588680.SH,科创100增强ETF,其他,39.56455,,,,1.20231,0.72657,,0.24885,,0.50573,-0.07914,-0.07881,0.34724,0.44564,0.69486,-0.08125,0.97764,0.97764,0.97764,19,18
563090.SH,上证50增强ETF易方达,其他,39.45943,,,,0.53565,0.08078,,0.18413,,0.48366,0.04363,-0.05248,0.24108,0.29802,0.48463,-0.09744,0.97640,0.97640,0.97640,20,19
513170.SH,恒生央企ETF,其他,39.45410,,,,0.45992,0.18432,,0.42540,,0.58010,0.12083,0.17878,0.23471,0.04402,0.59416,0.36618,0.97516,0.97516,0.97516,21,20
