ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
520550.SH,港股红利低波ETF,其他,51.52600,,,,0.33662,0.18872,,0.57558,,0.63341,0.08380,0.19215,0.72583,0.87608,1.41706,0.50031,1.00000,1.00000,1.00000,1,1
588820.SH,科创200ETF基金,其他,42.93966,,,,0.59648,0.13891,,0.49365,,0.43119,0.15866,0.12752,0.51913,0.54461,0.43671,0.21518,0.99775,0.99775,0.99775,3,2
159323.SZ,港股通汽车ETF,制造,41.36160,,,,0.74746,-0.07350,,0.18300,,0.62396,-0.04433,-0.04110,0.23653,0.29006,1.06561,-0.05341,0.99550,0.99550,0.99550,5,3
588760.SH,人工智能ETF科创,科技,40.57926,,,,1.02445,-0.07532,,0.31628,,0.68410,0.04634,-0.12213,0.15901,0.00174,0.85761,-0.16622,0.99324,0.99324,0.99324,7,4
561880.SH,A100ETF基金,其他,40.29264,,,,0.28685,0.00485,,0.48034,,0.57972,0.00828,-0.00493,0.45086,0.42138,1.00320,-0.01649,0.99212,0.99212,0.99212,8,5
159379.SZ,A500ETF融通,其他,39.90887,,,,0.34576,0.02141,,0.44905,,0.39440,0.03610,0.02198,0.46841,0.48777,1.55651,0.05874,0.99099,0.99099,0.99099,9,6
530080.SH,上证180ETF天弘,其他,39.39988,,,,0.29458,0.04719,,0.51889,,0.56769,0.02297,0.04422,0.54364,0.56839,0.92830,0.13468,0.98986,0.98986,0.98986,10,7
588930.SH,科创板人工智能ETF,科技,39.03012,,,,0.75486,-0.06761,,0.27056,,0.64812,0.04077,-0.11518,0.13673,0.00291,1.02063,-0.15664,0.98761,0.98761,0.98761,12,8
588790.SH,科创AIETF,科技,39.00130,,,,1.10110,-0.06811,,0.27040,,0.64828,0.04521,-0.11965,0.13747,0.00454,0.96439,-0.16321,0.98649,0.98649,0.98649,13,9
520600.SH,港股汽车ETF,制造,37.75505,,,,0.82072,-0.06999,,0.22268,,0.67486,-0.04470,-0.03514,0.26438,0.30609,0.94177,-0.04549,0.98423,0.98423,0.98423,15,10
159305.SZ,储能电池ETF广发,新能源,36.38365,,,,0.68779,-0.07871,,0.41828,,0.54341,0.12246,-0.04455,0.31348,0.20868,0.73919,-0.07377,0.98086,0.98086,0.98086,18,11
159312.SZ,恒生ETF港股通,其他,36.34344,,,,0.57928,0.04873,,0.47112,,0.56742,0.05509,0.05854,0.51224,0.55336,0.27725,0.07669,0.97973,0.97973,0.97973,19,12
560360.SH,软件指数ETF,科技,35.68481,,,,0.84370,-0.04917,,0.38561,0.47183,0.52412,0.08944,-0.05066,0.28584,0.00008,0.96911,-0.07989,0.97523,0.97523,0.97523,23,13
530580.SH,上证180ETF南方,其他,35.58222,,,,0.33963,0.04098,,0.49508,,0.54149,0.01715,0.04089,0.51989,0.54469,0.79455,0.10065,0.97410,0.97410,0.97410,24,14
562700.SH,汽车零部件ETF,制造,35.14684,,,,0.65224,-0.08388,0.48396,0.36534,0.46347,0.50076,-0.01848,-0.07057,0.33666,0.18118,1.23300,-0.11387,0.97297,0.97297,0.97297,25,15
159331.SZ,红利港股ETF,其他,34.69519,,,,0.53622,0.20871,,0.42227,0.44745,0.60080,0.03633,0.19357,0.57517,0.85577,0.41380,0.39151,0.96959,0.96959,0.96959,28,16
159378.SZ,通用航空ETF,军工,34.23292,,,,0.59267,0.16799,,0.45397,,0.56632,0.10821,0.19964,0.54468,0.63539,1.02255,0.30575,0.96509,0.96509,0.96509,32,17
588230.SH,科创200ETF,其他,34.06253,,,,0.62340,0.15506,,0.47302,,0.60354,0.15866,0.13135,0.51891,0.56480,0.68706,0.20809,0.96396,0.96396,0.96396,33,18
159302.SZ,港股高股息ETF,其他,33.74235,,,,0.44055,0.19973,,0.46370,,0.60323,0.03860,0.19101,0.66320,0.86271,1.13236,0.40033,0.96059,0.96059,0.96059,36,19
159318.SZ,恒生港股通ETF,其他,33.65985,,,,0.53299,0.05800,,0.48080,0.50901,0.59037,0.07085,0.06313,0.53234,0.60722,0.25142,0.08837,0.95946,0.95946,0.95946,37,20
