ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
159562.SZ,黄金股ETF,其他,43.58481,,,,0.99627,0.13542,,0.44352,,0.59684,-0.05933,0.12255,0.39094,0.33836,0.62952,0.10040,1.00000,1.00000,1.00000,1,1
561010.SH,软件ETF基金,科技,42.32870,,,,0.75821,-0.35782,,0.50143,,0.49135,-0.06356,-0.29217,0.55985,0.61826,0.91238,-0.46359,0.99863,0.99863,0.99863,2,2
159560.SZ,芯片ETF景顺,科技,42.15076,,,,0.59760,-0.03782,,0.34706,,0.58762,0.11020,0.03532,0.38188,0.41670,1.10199,0.07012,0.99726,0.99726,0.99726,3,3
513870.SH,纳指ETF富国,其他,42.06397,,,,0.53674,0.22273,,0.52668,,0.54314,0.21663,0.22799,0.63455,0.74242,0.97263,0.72626,0.99588,0.99588,0.99588,4,4
588700.SH,科创医药ETF嘉实,医药,41.31127,,,,0.58379,-0.15711,,0.51111,,0.59933,-0.04942,-0.12056,0.28616,0.06121,1.13455,-0.26171,0.99451,0.99451,0.99451,5,5
562600.SH,医疗器械ETF,医药,41.25468,,,,0.40694,-0.19451,,0.59841,,0.41860,-0.08711,-0.13566,0.34720,0.09600,0.45498,-0.37334,0.99314,0.99314,0.99314,6,6
513920.SH,港股通央企红利ETF,其他,41.04064,,,,0.40984,0.28859,,0.38356,,0.57807,0.09037,0.34408,0.53728,0.69099,1.38105,0.89110,0.99177,0.99177,0.99177,7,7
513750.SH,港股通非银ETF,其他,40.67141,,,,0.57371,0.15277,,0.30758,,0.56090,-0.07736,0.17142,0.33429,0.36100,1.06058,0.28201,0.99040,0.99040,0.99040,8,8
159502.SZ,标普生物科技ETF,科技,40.28987,,,,0.58116,0.02201,,0.41941,,0.59820,0.20831,-0.00824,0.32763,0.23585,0.93574,-0.01539,0.98903,0.98903,0.98903,9,9
159567.SZ,港股创新药ETF,其他,40.05371,,,,0.73325,-0.14825,,0.45622,,0.65191,0.05227,-0.09669,0.22966,0.00309,1.19826,-0.16072,0.98765,0.98765,0.98765,10,10
560780.SH,芯片设备ETF,科技,39.36121,,,,0.64107,-0.13619,,0.25837,,0.51458,0.04830,-0.05257,0.17528,0.09219,1.69953,-0.09328,0.98628,0.98628,0.98628,11,11
159572.SZ,创业板200ETF易方达,其他,39.12072,,,,0.78303,-0.23579,,0.44542,,0.51138,-0.05281,-0.17814,0.37131,0.29720,0.54764,-0.29889,0.98491,0.98491,0.98491,12,12
588900.SH,科创100ETF南方,其他,38.18009,,,,0.70366,-0.20529,,0.52698,,0.66352,-0.07314,-0.14781,0.31962,0.11225,0.91158,-0.27577,0.98217,0.98217,0.98217,14,13
159530.SZ,机器人ETF易方达,其他,37.61939,,,,0.66986,-0.22204,,0.49985,,0.52724,-0.04937,-0.18969,0.47031,0.44078,1.04145,-0.38918,0.98080,0.98080,0.98080,15,14
159520.SZ,消费龙头ETF,消费,37.44617,,,,0.34037,-0.11495,,0.55238,,0.53104,-0.07921,-0.10538,0.36525,0.17811,0.51169,-0.39240,0.97942,0.97942,0.97942,16,15
562060.SH,标普红利ETF,其他,37.35471,,,,0.31356,0.04571,,0.28295,,0.67785,-0.01829,0.07470,0.16581,0.04866,0.96625,0.27333,0.97805,0.97805,0.97805,17,16
560280.SH,工程机械ETF,制造,37.26341,,,,0.45258,0.03358,,0.38894,,0.61749,0.01742,0.02222,0.29476,0.20057,0.92223,0.03973,0.97668,0.97668,0.97668,18,17
563020.SH,红利低波动ETF,其他,37.25857,,,,0.28945,0.10552,,0.24316,,0.58939,-0.00203,0.12266,0.15993,0.07670,0.73539,0.45381,0.97531,0.97531,0.97531,19,18
159536.SZ,中证2000指数ETF,其他,37.18139,,,,0.69279,-0.24036,,0.41685,,0.58487,-0.08987,-0.21549,0.42652,0.43619,0.80110,-0.33425,0.97394,0.97394,0.97394,20,19
562030.SH,信创ETF基金,其他,37.11992,,,,0.68154,-0.33500,,0.48397,,0.59687,-0.03515,-0.26286,0.55015,0.61632,0.93901,-0.44725,0.97257,0.97257,0.97257,21,20
