ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,adx_score_component,final_score,stage2_rank,final_rank
562700.SH,汽车零部件ETF,制造,44.45139,,,,0.63572,0.19603,,0.26743,0.43267,0.51637,-0.04298,0.15848,0.45496,0.66477,1.23413,0.27411,1.00000,1.00000,1.00000,1,1
520700.SH,港股创新药ETF基金,其他,43.56797,,,,0.58168,0.62088,,0.45207,,0.56535,0.21430,0.64956,0.65968,0.86728,0.97894,0.98312,0.99880,0.99880,0.99880,2,2
588500.SH,科创100增强ETF易方达,其他,42.84852,,,,1.12480,0.14456,,0.17348,,0.53410,-0.03915,0.13357,0.39744,0.62140,0.52650,0.22035,0.99760,0.99760,0.99760,3,3
560360.SH,软件指数ETF,科技,40.94019,,,,0.90087,0.05682,,0.21854,,0.58195,-0.13918,0.07616,0.33332,0.44811,0.70685,0.08310,0.99520,0.99520,0.99520,5,4
159542.SZ,工程机械ETF,制造,38.87055,,,,0.51957,0.27714,,0.28710,,0.44706,-0.00653,0.29409,0.57469,0.86228,0.94970,0.64842,0.99400,0.99400,0.99400,6,5
520830.SH,沙特ETF,其他,38.08479,,,,0.63871,0.13464,,0.18111,,0.60808,0.03925,0.15497,0.13200,0.08290,1.12160,0.18511,0.99281,0.99281,0.99281,7,6
159300.SZ,300ETF,其他,37.69056,,,,2.89732,-0.01731,,0.22186,,0.60530,0.00150,0.00101,0.31742,0.41298,1.07453,0.00347,0.99161,0.99161,0.99161,8,7
159337.SZ,中证500ETF基金,其他,37.60238,,,,0.69680,0.01566,,0.23425,,0.60647,-0.00920,0.03860,0.42881,0.62336,1.26130,0.10348,0.99041,0.99041,0.99041,9,8
159332.SZ,央企红利ETF,其他,37.50060,,,,0.40903,-0.03890,,0.34644,,0.47519,0.02264,-0.01928,0.19878,0.05112,1.14317,-0.08328,0.98921,0.98921,0.98921,10,9
560850.SH,信创50ETF,其他,37.29816,,,,0.84548,0.14448,,0.25300,0.39052,0.59821,-0.11048,0.14921,0.39393,0.53827,0.82386,0.16628,0.98801,0.98801,0.98801,11,10
159318.SZ,恒生港股通ETF,其他,37.23834,,,,0.46098,0.33522,,0.30092,,0.52837,-0.00151,0.34527,0.56418,0.82744,0.98188,0.73144,0.98681,0.98681,0.98681,12,11
588890.SH,科创芯片ETF南方,科技,37.01655,,,,1.07657,0.08554,,0.24711,0.41675,0.60633,-0.05656,0.04553,0.40270,0.54425,1.02727,0.06080,0.98561,0.98561,0.98561,13,12
560890.SH,红利低波ETF新华,其他,36.81555,,,,0.40334,0.00695,,0.40640,,0.50356,0.04871,0.02616,0.24138,0.07637,1.14523,0.10821,0.98441,0.98441,0.98441,14,13
159327.SZ,半导体设备ETF基金,科技,36.57008,,,,0.86254,-0.04273,,0.23297,,0.59594,-0.06976,-0.00104,0.33193,0.43089,0.89000,-0.00173,0.98321,0.98321,0.98321,15,14
159331.SZ,红利港股ETF,其他,36.49739,,,,0.55197,0.08213,,0.31946,,0.56089,0.02360,-0.15987,0.46169,0.60392,0.36928,-0.36199,0.98201,0.98201,0.98201,16,15
561570.SH,油气ETF华泰柏瑞,其他,36.43514,,,,0.26187,-0.05761,,0.29980,,0.35666,0.03257,-0.02941,0.25116,0.20253,1.48669,-0.11657,0.98082,0.98082,0.98082,17,16
159557.SZ,恒生医疗ETF,医药,36.13457,,,,0.59530,0.51885,,0.42780,0.40534,0.52788,0.12519,0.52559,0.56600,0.86487,1.05443,0.91822,0.97962,0.97962,0.97962,18,17
159335.SZ,央企科创ETF,其他,35.93693,,,,0.58212,-0.02180,,0.24613,,0.45144,-0.03151,-0.00761,0.35523,0.46433,0.53715,-0.02088,0.97722,0.97722,0.97722,20,18
159329.SZ,沙特ETF,其他,35.87619,,,,0.77329,0.18129,,0.25550,,0.62724,0.10590,0.27715,0.12779,0.00007,1.29882,0.25865,0.97482,0.97482,0.97482,22,19
513170.SH,恒生央企ETF,其他,35.85304,,,,0.43578,0.18155,,0.35899,0.49987,0.61537,0.02334,0.17731,0.56555,0.83779,0.92201,0.50801,0.97362,0.97362,0.97362,23,20
