ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,excess_return_20d_normalized,excess_return_20d_component,final_score,stage2_rank,final_rank
159855.SZ,影视ETF,其他,32.90810,,,,0.47987,0.58291,,0.48571,0.49641,0.57867,0.44360,0.56529,0.60787,0.84148,1.25062,0.99061,1.00000,1.00000,1.00000,1,1
160216.SZ,国泰商品LOF,其他,23.26898,,,,0.55713,-0.00605,1.40837,0.21664,0.49224,0.51288,0.19470,-0.07458,0.47125,0.70486,1.36577,-0.12309,0.97576,0.97576,0.97576,5,2
160723.SZ,嘉实原油LOF,其他,23.27088,,,,0.53236,0.01174,1.41819,0.20333,0.49344,0.48930,0.17285,-0.05218,0.45381,0.66465,0.75419,-0.09746,0.96970,0.96970,0.96970,6,3
161126.SZ,标普医疗保健LOF,医药,25.33779,,,,0.29311,0.06003,0.45217,0.45699,0.47768,0.38567,0.16909,0.11126,0.35654,0.13496,1.65216,0.33480,0.96364,0.96364,0.96364,7,4
159766.SZ,旅游ETF,其他,38.90912,,,,0.52214,0.14340,,0.42099,,0.58514,0.16315,0.06044,0.28284,0.14468,1.39687,0.12629,0.95758,0.95758,0.95758,8,5
159745.SZ,建材ETF,其他,40.13312,,,,0.55658,0.09228,,0.46810,,0.65650,0.15691,0.08091,0.32679,0.18549,1.15277,0.15654,0.95152,0.95152,0.95152,9,6
159867.SZ,畜牧ETF,其他,41.27977,,,,0.44165,0.31846,,0.48730,0.47173,0.61764,0.15674,0.20318,0.41990,0.30066,0.96837,0.44157,0.94545,0.94545,0.94545,10,7
159865.SZ,养殖ETF,其他,42.32159,,,,0.45269,0.33182,,0.51111,0.48214,0.66244,0.15640,0.20490,0.42255,0.27441,0.90205,0.42473,0.93939,0.93939,0.93939,11,8
160140.SZ,美国REIT精选LOF,其他,21.90681,,,,0.28529,0.27365,0.84870,0.52698,0.54238,0.45460,0.14571,0.23709,0.56929,0.63850,1.03588,0.94389,0.93333,0.93333,0.93333,12,9
161815.SZ,抗通胀LOF,其他,22.38106,,,,0.37061,0.02822,0.78806,0.21490,0.51020,0.43538,0.13282,-0.04343,0.44650,0.61440,0.77289,-0.11261,0.92727,0.92727,0.92727,13,10
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.92121,0.92121,0.92121,14,11
159996.SZ,家电ETF,其他,17.66499,,,,0.44115,0.13706,-0.11632,0.39621,0.41769,0.65480,0.09438,0.09619,0.41492,0.43084,1.19667,0.22209,0.91515,0.91515,0.91515,15,12
161125.SZ,标普500LOF,其他,21.81959,,,,0.23705,0.13168,0.57753,0.52826,0.50281,0.47195,0.08704,0.13810,0.48141,0.41316,0.86365,0.62183,0.90909,0.90909,0.90909,16,13
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.90303,0.90303,0.90303,17,14
159851.SZ,金融科技ETF,科技,34.19955,,,,0.48696,0.15426,,0.41813,,0.55741,0.08485,0.15628,0.57363,0.72914,1.60279,0.37078,0.89697,0.89697,0.89697,18,15
159993.SZ,证券ETF龙头,金融,21.16303,,,,0.50707,0.00480,0.11223,0.41813,0.55634,0.62458,0.08112,0.01940,0.45137,0.37963,1.12631,0.05541,0.89091,0.89091,0.89091,19,16
163113.SZ,申万证券LOF,金融,35.36544,,,,0.42974,0.00604,,0.43226,0.49385,0.45387,0.07178,0.02034,0.42843,0.35918,1.20693,0.06055,0.86667,0.86667,0.86667,23,17
159825.SZ,农业ETF,其他,26.71872,,,,0.44998,0.16274,,0.45668,0.46441,0.66831,0.06374,0.08338,0.34667,0.11892,0.98363,0.23198,0.86061,0.86061,0.86061,24,18
159941.SZ,纳指ETF,其他,20.94159,,,,0.35029,0.14720,0.60038,0.43559,0.44605,0.65228,0.06305,0.18432,0.43341,0.41860,1.12899,0.55248,0.85455,0.85455,0.85455,25,19
159811.SZ,5G50ETF,科技,24.93509,,,,0.47228,0.33475,0.26265,0.45622,0.47679,0.57872,0.06082,0.32511,0.60504,0.88210,0.75072,0.83052,0.84848,0.84848,0.84848,26,20
