strategy,ts_code,params,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration
loss_protection,520600.SH,"max_losses=3, pause_bars=10",9.790165859999997,0.707752298164886,-8.300510209606404,75.0,4,32 days
loss_protection,520600.SH,"max_losses=3, pause_bars=15",9.790165859999997,0.707752298164886,-8.300510209606404,75.0,4,32 days
loss_protection,520600.SH,"max_losses=4, pause_bars=5",9.790165859999997,0.707752298164886,-8.300510209606404,75.0,4,32 days
loss_protection,520600.SH,"max_losses=4, pause_bars=10",9.790165859999997,0.707752298164886,-8.300510209606404,75.0,4,32 days
loss_protection,520600.SH,"max_losses=4, pause_bars=15",9.790165859999997,0.707752298164886,-8.300510209606404,75.0,4,32 days
combined,520600.SH,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",7.277343720000008,0.6226744055205552,-7.968790590006913,50.0,4,24 days
base,512980.SH,"n1=10, n2=20",16.37985226000006,0.25063561842140475,-18.41336868028074,45.0,20,35 days
trailing_stop,512980.SH,trailing_stop_pct=0.03,-12.98445835999997,-0.7240472527322577,-14.836448379999979,20.0,10,12 days
trailing_stop,512980.SH,trailing_stop_pct=0.05,21.11180148000001,0.5242225265290976,-15.235170860000002,40.0,10,24 days
trailing_stop,512980.SH,trailing_stop_pct=0.07,9.818811319999986,0.2182891310288976,-20.379455800000002,50.0,10,33 days
loss_protection,512980.SH,"max_losses=2, pause_bars=5",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=2, pause_bars=10",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=2, pause_bars=15",-9.37722357999999,-0.2892721262199973,-22.50217026,44.44444444444444,9,35 days
loss_protection,512980.SH,"max_losses=3, pause_bars=5",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=3, pause_bars=10",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=3, pause_bars=15",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=4, pause_bars=5",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=4, pause_bars=10",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
loss_protection,512980.SH,"max_losses=4, pause_bars=15",19.26036474000002,0.3606899814734249,-19.980560699999995,50.0,10,39 days
combined,512980.SH,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",21.11180148000001,0.5242225265290976,-15.235170860000002,40.0,10,24 days
base,510210.SH,"n1=10, n2=20",-7.859780280000033,-0.2908745157467317,-29.011256664207952,35.0,20,30 days
trailing_stop,510210.SH,trailing_stop_pct=0.03,13.633360699999974,0.5446796757103922,-13.143541250714819,40.0,10,31 days
trailing_stop,510210.SH,trailing_stop_pct=0.05,13.28565193999997,0.5226011529265049,-14.717642815824316,40.0,10,32 days
trailing_stop,510210.SH,trailing_stop_pct=0.07,12.775651620000025,0.5040349009092596,-15.102181743134146,40.0,10,32 days
loss_protection,510210.SH,"max_losses=2, pause_bars=5",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=2, pause_bars=10",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=2, pause_bars=15",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=3, pause_bars=5",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=3, pause_bars=10",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=3, pause_bars=15",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=4, pause_bars=5",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=4, pause_bars=10",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
loss_protection,510210.SH,"max_losses=4, pause_bars=15",11.763120539999981,0.44977698367170943,-15.86475206318565,40.0,10,34 days
combined,510210.SH,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",13.28565193999997,0.5226011529265049,-14.717642815824316,40.0,10,32 days
