ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
561160.SH,trailing_stop,76.20046813999998,1.2586877257566167,-15.073627784577182,55.00000000000001,20,19 days 00:00:00,56.79012345679012,18,36,12,,,0.03
516160.SH,trailing_stop,68.13883345999994,1.1999646070865284,-16.433596233271064,45.45454545454545,22,19 days 00:00:00,59.876543209876544,12,34,14,,,0.03
159566.SZ,trailing_stop,54.36772170000002,1.2696091657197492,-12.369707163510945,52.94117647058824,17,17 days 00:00:00,51.42857142857142,14,40,14,,,0.03
159783.SZ,trailing_stop,106.16263664000003,1.1477397380473253,-15.880893153040876,58.82352941176471,17,24 days 00:00:00,55.76131687242798,18,24,14,,,0.03
159715.SZ,trailing_stop,9.92433326000004,0.23716301353769284,-20.389661719486128,36.0,25,13 days 00:00:00,46.913580246913575,20,40,6,,,0.03
588170.SH,trailing_stop,7.463301079999947,0.4766058396806957,-15.338455564874886,57.14285714285714,7,17 days 00:00:00,56.25,20,40,14,,,0.03
515070.SH,trailing_stop,25.035390480000025,0.5587737840494907,-21.322816516028777,44.44444444444444,18,13 days 00:00:00,33.744855967078195,20,40,14,,,0.03
159399.SZ,trailing_stop,10.689593259999965,1.0612449837817692,-4.072812314282381,83.33333333333334,6,26 days 00:00:00,62.57309941520468,20,30,8,,,0.03
159201.SZ,trailing_stop,14.535051759999988,1.25625616715761,-6.698984786350371,57.14285714285714,7,23 days 00:00:00,66.08187134502924,12,26,14,,,0.03
588870.SH,trailing_stop,14.984157040000026,0.6462768048175999,-12.637753066038005,42.857142857142854,14,16 days 00:00:00,81.38297872340425,10,38,6,,,0.03
159366.SZ,trailing_stop,8.416435820000043,0.7785958053121402,-11.361676811223731,33.33333333333333,6,20 days 00:00:00,55.714285714285715,18,30,14,,,0.03
589010.SH,trailing_stop,15.223886640000057,0.8461273705656285,-11.530648500360885,41.66666666666667,12,12 days 00:00:00,67.83216783216784,8,20,8,,,0.03
159922.SZ,trailing_stop,73.24888085999999,0.5700599080694227,-12.500567026375132,40.0,15,28 days 00:00:00,60.69958847736625,20,40,14,,,0.03
563800.SH,trailing_stop,7.891129200000013,0.5649764375964899,-7.727427782663742,46.15384615384615,13,22 days 00:00:00,79.74683544303798,20,38,10,,,0.03
159608.SZ,trailing_stop,-4.694509619999954,-0.10404227239526409,-26.150344021087022,30.555555555555557,36,12 days 00:00:00,63.78600823045267,8,22,12,,,0.03
159732.SZ,trailing_stop,22.85740617999998,0.5257761731579019,-21.213602759566154,42.857142857142854,21,11 days 00:00:00,34.5679012345679,20,38,10,,,0.03
159206.SZ,trailing_stop,16.749817060000023,1.1941501392946234,-10.796443977758209,60.0,5,17 days 00:00:00,38.75,20,30,14,,,0.03
520600.SH,trailing_stop,9.046838619999999,0.5279963238876838,-11.160311634759278,40.0,10,15 days 00:00:00,48.309178743961354,18,36,6,,,0.03
512980.SH,trailing_stop,8.655924239999912,0.17237407082043937,-29.529557180049782,30.0,50,10 days 00:00:00,69.1358024691358,8,40,6,,,0.03
510210.SH,trailing_stop,35.53867902000005,0.950656231182799,-11.052906997073952,50.0,12,34 days 00:00:00,58.43621399176955,20,40,14,,,0.03
561160.SH,trailing_stop,130.8673226000001,1.2388067892857193,-20.671778592610924,50.0,20,28 days 00:00:00,76.95473251028807,10,38,12,,,0.05
516160.SH,trailing_stop,401.5195294199998,0.21304196840982434,-26.919091783406333,36.666666666666664,30,18 days 00:00:00,76.13168724279835,20,36,6,,,0.05
159566.SZ,trailing_stop,89.72764081999995,1.2366330908864622,-13.16798060820198,42.10526315789473,19,23 days 00:00:00,67.61904761904762,10,36,10,,,0.05
159783.SZ,trailing_stop,109.42661361999998,1.1469706833819397,-16.042701621719313,57.14285714285714,14,33 days 00:00:00,64.81481481481481,20,26,14,,,0.05
159715.SZ,trailing_stop,37.898928259999956,0.5706044227735274,-18.376158333111125,42.5,40,15 days 00:00:00,83.1275720164609,8,24,6,,,0.05
588170.SH,trailing_stop,0.9057260599999608,0.05558160352074327,-14.798449646242318,55.55555555555556,9,18 days 00:00:00,75.69444444444444,20,40,8,,,0.05
515070.SH,trailing_stop,96.87443036000005,1.1299855340899483,-26.596392915140743,42.10526315789473,19,25 days 00:00:00,66.46090534979425,20,40,10,,,0.05
159399.SZ,trailing_stop,6.18981237999993,0.5950194362565634,-6.225116373157514,62.5,8,27 days 00:00:00,84.7953216374269,16,32,12,,,0.05
159201.SZ,trailing_stop,11.087273699999969,0.9794983687234723,-7.165903923618133,45.45454545454545,11,19 days 00:00:00,82.45614035087719,8,32,8,,,0.05
588870.SH,trailing_stop,23.864859020000022,1.1511574674390617,-10.724067091683033,28.57142857142857,7,23 days 00:00:00,60.63829787234043,20,30,14,,,0.05
159366.SZ,trailing_stop,32.07423592000003,1.769868772471003,-9.432066172001885,50.0,4,31 days 00:00:00,62.142857142857146,18,34,14,,,0.05
589010.SH,trailing_stop,26.621820340000053,1.5211991815068844,-9.377680663043531,20.0,5,22 days 00:00:00,55.94405594405595,16,22,14,,,0.05
159922.SZ,trailing_stop,89.32286140000008,0.6533922031389721,-12.693938020766836,50.0,20,25 days 00:00:00,69.75308641975309,18,24,14,,,0.05
563800.SH,trailing_stop,8.907407799999929,0.5806935549534661,-7.401034797772754,40.0,15,22 days 00:00:00,90.71729957805907,20,38,10,,,0.05
