ts_code,name,industry,adx_mean,annual_return,max_drawdown,return_dd_ratio,volatility,momentum_3m,momentum_12m,trend_consistency,price_efficiency,liquidity_score,excess_return_20d,excess_return_60d,trend_quality,trend_quality_r2,volume_trend,idr,adx_mean_normalized,trend_consistency_normalized,price_efficiency_normalized,liquidity_score_normalized,momentum_3m_normalized,momentum_12m_normalized,primary_score,secondary_score,final_score,stage2_rank,final_rank
162411.SZ,华宝油气LOF,其他,21.70093,,,,0.75245,-0.06165,1.50785,0.37322,0.55491,0.60627,-0.00857,-0.13189,0.54461,0.70572,0.68765,-0.21111,0.19444,0.51389,0.97778,0.33333,0.25000,1.00000,0.19444,1.00000,1.00000,1,1
159995.SZ,芯片ETF,科技,23.32862,,,,0.68803,0.09188,0.87161,0.18618,0.50319,0.69796,-0.09255,0.14114,0.33151,0.30516,0.72057,0.28852,0.23611,0.09722,0.88889,0.90278,0.77778,0.97297,0.23611,0.97297,0.97297,2,2
159930.SZ,能源ETF,其他,19.43929,,,,0.67073,-0.28329,0.82997,0.17937,0.47853,0.59928,-0.01529,-0.20344,0.24773,0.08530,0.74209,-0.28494,0.08333,0.05556,0.64444,0.26389,0.01389,0.94595,0.08333,0.94595,0.94595,3,3
161128.SZ,标普信息科技LOF,科技,24.03502,,,,0.31596,0.24807,0.76166,0.47906,0.45581,0.54746,0.09935,0.29765,0.59382,0.84658,0.88971,0.93349,0.27778,0.91667,0.46667,0.13889,0.95833,0.91892,0.27778,0.91892,0.91892,4,4
159967.SZ,创业板成长ETF,其他,23.43364,,,,0.68949,0.08018,0.75266,0.32340,0.46338,0.69142,-0.14776,0.05788,0.28406,0.06539,0.78768,0.11842,0.25000,0.37500,0.48889,0.84722,0.76389,0.89189,0.25000,0.89189,0.89189,5,5
159941.SZ,纳指ETF,其他,20.94159,,,,0.35029,0.14720,0.60038,0.43559,0.44605,0.65228,0.06305,0.18432,0.43341,0.41860,1.12899,0.55248,0.11111,0.77778,0.42222,0.58333,0.87500,0.86486,0.11111,0.86486,0.86486,6,6
159949.SZ,创业板50ETF,其他,25.30801,,,,0.61558,0.06003,0.59396,0.31659,0.50277,0.73630,-0.11147,0.03654,0.32485,0.15520,0.84559,0.09488,0.41667,0.34722,0.86667,1.00000,0.58333,0.83784,0.41667,0.83784,0.83784,7,7
159957.SZ,创业板ETF华夏,其他,22.90560,,,,0.52416,0.07571,0.53197,0.21014,0.36966,0.50691,-0.07483,0.05885,0.28913,0.28759,1.18260,0.18347,0.22222,0.11111,0.13333,0.06944,0.73611,0.81081,0.22222,0.81081,0.81081,8,8
164824.SZ,印度基金LOF,其他,24.28244,,,,0.31590,-0.10778,0.41835,0.28361,0.46576,0.53716,0.00664,-0.08507,0.51753,0.80322,0.91989,-0.28485,0.30556,0.29167,0.53333,0.09722,0.20833,0.67568,0.30556,0.67568,0.67568,13,9
159922.SZ,中证500ETF,其他,21.47583,,,,0.29515,0.04273,0.41644,0.46493,0.47329,0.65933,0.01006,0.07320,0.56863,0.76766,1.20167,0.33459,0.13889,0.84722,0.57778,0.66667,0.52778,0.64865,0.13889,0.64865,0.64865,14,10
159971.SZ,创业板ETF富国,其他,21.62769,,,,0.54195,0.06184,0.38855,0.26866,0.39599,0.42581,-0.08389,0.04538,0.29530,0.22126,1.39467,0.13010,0.18056,0.22222,0.17778,0.02778,0.61111,0.62162,0.18056,0.62162,0.62162,15,11
159813.SZ,半导体ETF,科技,24.82320,,,,0.76829,0.09902,0.35280,0.16841,0.44259,0.62520,-0.08789,0.14702,0.31760,0.34181,0.75618,0.30680,0.38889,0.02778,0.37778,0.43056,0.81944,0.59459,0.38889,0.59459,0.59459,16,12
159801.SZ,芯片ETF龙头,科技,24.38507,,,,0.73587,-0.26462,0.27316,0.36528,0.44562,0.59929,-0.39010,-0.23025,0.37538,0.31525,0.76131,-0.29663,0.33333,0.48611,0.40000,0.27778,0.04167,0.56757,0.33333,0.56757,0.56757,17,13
159819.SZ,人工智能ETF,科技,23.58502,,,,0.41636,0.21998,0.17648,0.50159,0.47717,0.63809,0.03197,0.19921,0.59099,0.79420,0.96616,0.59242,0.26389,0.95833,0.62222,0.50000,0.94444,0.54054,0.26389,0.54054,0.54054,18,14
159994.SZ,5GETF,科技,25.29488,,,,0.48901,0.31477,0.15428,0.48080,0.48833,0.61110,0.08594,0.30040,0.61237,0.86798,0.93264,0.68462,0.40278,0.93056,0.77778,0.37500,0.97222,0.51351,0.40278,0.51351,0.51351,19,15
159993.SZ,证券ETF龙头,金融,21.16303,,,,0.50707,0.00480,0.11223,0.41813,0.55634,0.62458,0.08112,0.01940,0.45137,0.37963,1.12631,0.05541,0.12500,0.62500,1.00000,0.40278,0.38889,0.48649,0.12500,0.48649,0.48649,20,16
588000.SH,科创50ETF,其他,26.01876,,,,0.48078,0.06499,0.07107,0.18618,0.52391,0.70223,-0.06172,0.05001,0.26383,0.08141,0.84372,0.13999,0.47222,0.09722,0.95556,0.91667,0.62500,0.45946,0.47222,0.45946,0.45946,21,17
159998.SZ,计算机ETF,其他,19.37225,,,,0.44006,0.07734,0.04537,0.30896,0.41542,0.51793,0.01479,0.04732,0.39406,0.45781,1.25690,0.15262,0.06944,0.33333,0.20000,0.08333,0.75000,0.35135,0.06944,0.35135,0.35135,25,18
